Dataset	Bait	Gene	IsInteractor	Chr	PosStart	PosEnd
ANK2_WH	ANK2	MYO1B	TRUE	2	192109911	192290115
ANK2_WH	ANK2	MACF1	TRUE	1	39546988	39952849
ANK2_WH	ANK2	INA	TRUE	10	105036920	105050108
ANK2_WH	ANK2	KRT2	TRUE	12	53038342	53045948
ANK2_WH	ANK2	TUBB2A	TRUE	6	3153903	3157760
ANK2_WH	ANK2	PPIA	TRUE	7	44836279	44864163
ANK2_WH	ANK2	VDAC2	TRUE	10	76969912	76991206
ANK2_WH	ANK2	PRPF8	TRUE	17	1553923	1588176
ANK2_WH	ANK2	GABARAPL2	TRUE	16	75600249	75611779
ANK2_WH	ANK2	RTP1	TRUE	3	186915274	186919253
ANK2_WH	ANK2	MYH9	TRUE	22	36677327	36784063
ANK2_WH	ANK2	NONO	TRUE	X	70503042	70521018
ANK2_WH	ANK2	HSPA5	TRUE	9	127997132	128003609
ANK2_WH	ANK2	HSPA1A	TRUE	6	31765431	31767913
ANK2_WH	ANK2	GNAQ	TRUE	9	80331003	80646374
ANK2_WH	ANK2	C3	TRUE	19	6677715	6730573
ANK2_WH	ANK2	RABL6	TRUE	9	139702374	139735639
ANK2_WH	ANK2	VIRMA	TRUE	8	95499917	95565757
ANK2_WH	ANK2	HSPA8	TRUE	11	122928197	122933938
ANK2_WH	ANK2	GNAS	TRUE	20	57414773	57486247
ANK2_WH	ANK2	MAP1B	TRUE	5	71403061	71505395
ANK2_WH	ANK2	SF3B1	TRUE	2	198254508	198299815
ANK2_WH	ANK2	BASP1	TRUE	5	17065707	17276943
ANK2_WH	ANK2	IGLL5	TRUE	22	23229960	23238287
ANK2_WH	ANK2	YWHAZ	TRUE	8	101928753	101965616
ANK2_WH	ANK2	CAPZA1	TRUE	1	113161795	113214241
ANK2_WH	ANK2	SYT1	TRUE	12	79257773	79845788
ANK2_WH	ANK2	EEF1A1	TRUE	6	74225473	74233520
ANK2_WH	ANK2	CORO2B	TRUE	15	68871308	69020145
ANK2_WH	ANK2	PPP1CA	TRUE	11	67165654	67188654
ANK2_WH	ANK2	PABPC3	TRUE	13	25670300	25673389
ANK2_WH	ANK2	RPL18	TRUE	19	49118585	49122793
ANK2_WH	ANK2	GAP43	TRUE	3	115342171	115440337
ANK2_WH	ANK2	ATP5F1C	TRUE	10	7830110	7849778
ANK2_WH	ANK2	JUP	TRUE	17	39775692	39943183
ANK2_WH	ANK2	TUBB	TRUE	6	30677842	30683067
ANK2_WH	ANK2	GNG2	TRUE	14	52292913	52446060
ANK2_WH	ANK2	RPL10A	TRUE	6	35436185	35438562
ANK2_WH	ANK2	ACTG2	TRUE	2	74119441	74146992
ANK2_WH	ANK2	DBN1	TRUE	5	176883609	176901402
ANK2_WH	ANK2	HRAS	TRUE	11	532242	537287
ANK2_WH	ANK2	RPL7	TRUE	8	74202506	74208024
ANK2_WH	ANK2	PLEKHA5	TRUE	12	19282648	19529334
ANK2_WH	ANK2	PLXDC2	TRUE	10	20105168	20578785
ANK2_WH	ANK2	RTN4RL2	TRUE	11	57228022	57245007
ANK2_WH	ANK2	NEFL	TRUE	8	24808468	24814624
ANK2_WH	ANK2	MYH10	TRUE	17	8377523	8534079
ANK2_WH	ANK2	YWHAQ	TRUE	2	9724101	9771143
ANK2_WH	ANK2	PRPH	TRUE	12	49687035	49692465
ANK2_WH	ANK2	L1CAM	TRUE	X	153029986	153077694
ANK2_WH	ANK2	HSP90AB1	TRUE	6	44214824	44221620
ANK2_WH	ANK2	SNX9	TRUE	6	158244296	158366109
ANK2_WH	ANK2	CRABP1	TRUE	15	78632666	78640572
ANK2_WH	ANK2	SRCIN1	TRUE	17	36686252	36762184
ANK2_WH	ANK2	FMNL2	TRUE	2	153191751	153506348
ANK2_WH	ANK2	VIM	TRUE	10	17270258	17279592
ANK2_WH	ANK2	ACTBL2	TRUE	5	56775846	56778636
ANK2_WH	ANK2	MAP6	TRUE	11	75297963	75380165
ANK2_WH	ANK2	RAC1	TRUE	7	6414154	6443608
ANK2_WH	ANK2	LSAMP	TRUE	3	115521235	117716095
ANK2_WH	ANK2	IGKV2-40	TRUE	2	89629873	89630186
ANK2_WH	ANK2	ADD1	TRUE	4	2845584	2931803
ANK2_WH	ANK2	MYO5A	TRUE	15	52599480	52821247
ANK2_WH	ANK2	RPL6	TRUE	12	112842994	112856642
ANK2_WH	ANK2	IGF2BP1	TRUE	17	47074774	47133012
ANK2_WH	ANK2	RPL14	TRUE	3	40498783	40503861
ANK2_WH	ANK2	GNAO1	TRUE	16	56225302	56391356
ANK2_WH	ANK2	RPS14	FALSE	5	149822753	149829319
ANK2_WH	ANK2	MARK2	FALSE	11	63606400	63678491
ANK2_WH	ANK2	MPG	FALSE	16	127006	135852
ANK2_WH	ANK2	RPL36AL	FALSE	14	50085237	50087403
ANK2_WH	ANK2	MRPL14	FALSE	6	44081194	44095194
ANK2_WH	ANK2	DIP2B	FALSE	12	50898768	51142450
ANK2_WH	ANK2	RPS29	FALSE	14	50043390	50065408
ANK2_WH	ANK2	CLASP2	FALSE	3	33537737	33759848
ANK2_WH	ANK2	EPB41L1	FALSE	20	34679426	34820721
ANK2_WH	ANK2	MATR3	FALSE	5	138609441	138667360
ANK2_WH	ANK2	RPL13	FALSE	16	89627065	89630950
ANK2_WH	ANK2	USP19	FALSE	3	49145479	49158371
ANK2_WH	ANK2	PTN	FALSE	7	136912088	137028611
ANK2_WH	ANK2	KRT8	FALSE	12	53290977	53343738
ANK2_WH	ANK2	FBXL3	FALSE	13	77566740	77601330
ANK2_WH	ANK2	MTDH	FALSE	8	98656407	98740998
ANK2_WH	ANK2	RPS13	FALSE	11	17095936	17099334
ANK2_WH	ANK2	KRT17	FALSE	17	39775689	39781094
ANK2_WH	ANK2	RPL24	FALSE	3	101399935	101405626
ANK2_WH	ANK2	RPL23A	FALSE	17	27046411	27051377
ANK2_WH	ANK2	ARGLU1	FALSE	13	107194021	107220512
ANK2_WH	ANK2	RPL10	FALSE	X	153558423	153577636
ANK2_WH	ANK2	EWSR1	FALSE	22	29663998	29696515
ANK2_WH	ANK2	PFN2	FALSE	3	149682691	149768575
ANK2_WH	ANK2	MYL12A	FALSE	18	3247479	3256234
ANK2_WH	ANK2	NES	FALSE	1	156638555	156647189
ANK2_WH	ANK2	DIMT1	FALSE	5	61683081	61699766
ANK2_WH	ANK2	HBA2	FALSE	16	222846	223709
ANK2_WH	ANK2	FARP1	FALSE	13	98794816	99102027
ANK2_WH	ANK2	DSP	FALSE	6	7541808	7586950
ANK2_WH	ANK2	HNRNPA1	FALSE	12	54673977	54680872
ANK2_WH	ANK2	SYNM	FALSE	15	99638420	99675798
ANK2_WH	ANK2	USP39	FALSE	2	85829979	85876403
ANK2_WH	ANK2	NCAN	FALSE	19	19322782	19363042
ANK2_WH	ANK2	DCX	FALSE	X	110537007	110655603
ANK2_WH	ANK2	RPS9	FALSE	19	54704601	54752858
ANK2_WH	ANK2	DDX23	FALSE	12	49223547	49246625
ANK2_WH	ANK2	RPL37	FALSE	5	40825364	40835437
ANK2_WH	ANK2	TSR3	FALSE	16	1399241	1401912
ANK2_WH	ANK2	LTBP1	FALSE	2	33172039	33624576
ANK2_WH	ANK2	MRPL41	FALSE	9	140445651	140447007
ANK2_WH	ANK2	FAU	FALSE	11	64888100	64889945
ANK2_WH	ANK2	MAP7	FALSE	6	136663875	136871957
ANK2_WH	ANK2	LAMA2	FALSE	6	129204342	129837714
ANK2_WH	ANK2	GPATCH1	FALSE	19	33571786	33621448
ANK2_WH	ANK2	H2AFJ	FALSE	12	14927270	14930936
ANK2_WH	ANK2	PRPF6	FALSE	20	62612488	62664453
ANK2_WH	ANK2	RPL27A	FALSE	11	8703958	8736306
ANK2_WH	ANK2	PLEKHO1	FALSE	1	150121373	150136916
ANK2_WH	ANK2	MAP4	FALSE	3	47892182	48130769
ANK2_WH	ANK2	TOP2B	FALSE	3	25639475	25706398
ANK2_WH	ANK2	RPA1	FALSE	17	1732996	1803376
ANK2_WH	ANK2	CAMSAP3	FALSE	19	7660788	7683190
ANK2_WH	ANK2	PLEC	FALSE	8	144989321	145050902
ANK2_WH	ANK2	NTM	FALSE	11	131240373	132206716
ANK2_WH	ANK2	SUB1	FALSE	5	32531739	32604185
ANK2_WH	ANK2	RPS8	FALSE	1	45240923	45244451
ANK2_WH	ANK2	RPL22	FALSE	1	6241329	6269449
ANK2_WH	ANK2	ZNF593	FALSE	1	26496362	26498551
ANK2_WH	ANK2	UQCRH	FALSE	1	46769303	46782448
ANK2_WH	ANK2	RPS7	FALSE	2	3622795	3628509
ANK2_WH	ANK2	PNMA8C	FALSE	19	46927954	46932208
ANK2_WH	ANK2	HIST1H2BK	FALSE	6	27106073	27114619
ANK2_WH	ANK2	NOP16	FALSE	5	175810949	175815976
ANK2_WH	ANK2	RBM15	FALSE	1	110881128	110889299
ANK2_WH	ANK2	PRPF40A	FALSE	2	153508107	153574511
ANK2_WH	ANK2	RPS10	FALSE	6	34385231	34393902
ANK2_WH	ANK2	PRPF4B	FALSE	6	4021501	4065217
ANK2_WH	ANK2	RPS18	FALSE	6	33379131	33382651
ANK2_WH	ANK2	SFRP1	FALSE	8	41119481	41167016
ANK2_WH	ANK2	HMGN4	FALSE	6	26538633	26546482
ANK2_WH	ANK2	RAI14	FALSE	5	34656342	34832732
ANK2_WH	ANK2	RPS15A	FALSE	16	18792617	18801705
ANK2_WH	ANK2	EDIL3	FALSE	5	83236373	83680611
ANK2_WH	ANK2	MMTAG2	FALSE	1	228288427	228293112
ANK2_WH	ANK2	SFSWAP	FALSE	12	132195626	132284282
ANK2_WH	ANK2	H2AFZ	FALSE	4	100869243	100871545
ANK2_WH	ANK2	H1F0	FALSE	22	38201114	38203442
ANK2_WH	ANK2	HIST2H3A	FALSE	1	149824181	149825836
ANK2_WH	ANK2	HSPA9	FALSE	5	137890571	137911133
ANK2_WH	ANK2	RPS28	FALSE	19	8386042	8388224
ANK2_WH	ANK2	RPS4X	FALSE	X	71475529	71497150
ANK2_WH	ANK2	THSD7A	FALSE	7	11409984	11871824
ANK2_WH	ANK2	MAP2	FALSE	2	210288782	210598842
ANK2_WH	ANK2	RPL39	FALSE	X	118920467	118925606
ANK2_WH	ANK2	RPS27A	FALSE	2	55459039	55462989
ANK2_WH	ANK2	GAPDH	FALSE	12	6643093	6647537
ANK2_WH	ANK2	HNRNPC	FALSE	14	21677295	21737653
ANK2_WH	ANK2	DHX57	FALSE	2	39024871	39103075
ANK2_WH	ANK2	SRSF3	FALSE	6	36562145	36573377
ANK2_WH	ANK2	RPS3A	FALSE	4	152020725	152025804
ANK2_WH	ANK2	IGLV8-61	FALSE	22	22453110	22453622
ANK2_WH	ANK2	TOP1	FALSE	20	39657458	39753127
ANK2_WH	ANK2	PPIB	FALSE	15	64448011	64455404
ANK2_WH	ANK2	HNRNPR	FALSE	1	23630264	23670829
ANK2_WH	ANK2	FARSA	FALSE	19	13033293	13044851
ANK2_WH	ANK2	RPS19	FALSE	19	42365823	42378831
ANK2_WH	ANK2	RPS23	FALSE	5	81569177	81574396
ANK2_WH	ANK2	H1FX	FALSE	3	129033615	129035120
ANK2_WH	ANK2	ZCCHC17	FALSE	1	31769842	31837783
ANK2_WH	ANK2	MARCKS	FALSE	6	114178541	114184648
ANK2_WH	ANK2	RPL17	FALSE	18	47014851	47018906
ANK2_WH	ANK2	AZGP1	FALSE	7	99564343	99573780
ANK2_WH	ANK2	RBBP6	FALSE	16	24549014	24584184
ANK2_WH	ANK2	KRT6A	FALSE	12	52880958	52887041
ANK2_WH	ANK2	RPS20	FALSE	8	56979854	56987069
ANK2_WH	ANK2	C19orf53	FALSE	19	13884982	13889276
ANK2_WH	ANK2	HIST1H1D	FALSE	6	26234440	26235216
ANK2_WH	ANK2	RPS26	FALSE	12	56435637	56438116
ANK2_WH	ANK2	FAM207A	FALSE	21	46359925	46396904
ANK2_WH	ANK2	FTSJ3	FALSE	17	61896793	61907372
ANK2_WH	ANK2	CAPZB	FALSE	1	19665267	19812066
ANK2_WH	ANK2	PRPF4	FALSE	9	116037623	116055185
ANK2_WH	ANK2	MAP1A	FALSE	15	43803156	43823818
ANK2_WH	ANK2	GTPBP4	FALSE	10	1034338	1065876
ANK2_WH	ANK2	ZC2HC1A	FALSE	8	79578282	79632000
ANK2_WH	ANK2	PTMS	FALSE	12	6874682	6880116
ANK2_WH	ANK2	RPS5	FALSE	19	58897767	58906173
ANK2_WH	ANK2	MRPL15	FALSE	8	55047770	55060461
ANK2_WH	ANK2	RPL36A	FALSE	X	100645812	100651105
ANK2_WH	ANK2	KRT71	FALSE	12	52937693	52946931
ANK2_WH	ANK2	KRT1	FALSE	12	53068520	53074191
ANK2_WH	ANK2	WDR83	FALSE	19	12777614	12786646
ANK2_WH	ANK2	SV2A	FALSE	1	150589733	150604297
ANK2_WH	ANK2	CFAP20	FALSE	16	58147496	58163285
ANK2_WH	ANK2	RPS15	FALSE	19	1438358	1440583
ANK2_WH	ANK2	SART1	FALSE	11	65729160	65747299
ANK2_WH	ANK2	SF3B2	FALSE	11	65818200	65836779
ANK2_WH	ANK2	RBM25	FALSE	14	73525144	73588122
ANK2_WH	ANK2	ELAVL2	FALSE	9	23690102	23826335
ANK2_WH	ANK2	SRRM1	FALSE	1	24958207	24999758
ANK2_WH	ANK2	SRP9	FALSE	1	225965531	225978168
ANK2_WH	ANK2	RPS16	FALSE	19	39923847	39926588
ANK2_WH	ANK2	NACA	FALSE	12	57106212	57125412
ANK2_WH	ANK2	GPRIN1	FALSE	5	176022803	176037134
ANK2_WH	ANK2	PPL	FALSE	16	4932508	5010742
ANK2_WH	ANK2	DDX41	FALSE	5	176938578	176944470
ANK2_WH	ANK2	RPL26	FALSE	17	8280838	8286531
ANK2_WH	ANK2	DHX35	FALSE	20	37590942	37668366
ANK2_WH	ANK2	DDX3X	FALSE	X	41192651	41223725
ANK2_WH	ANK2	SRRM2	FALSE	16	2802330	2822539
ANK2_WH	ANK2	RPL21	FALSE	13	27825446	27830828
ANK2_WH	ANK2	DCLK1	FALSE	13	36345478	36705443
ANK2_WH	ANK2	TONSL	FALSE	8	145654165	145669827
ANK2_WH	ANK2	SRP14	FALSE	15	40327940	40331389
ANK2_WH	ANK2	GRN	FALSE	17	42422614	42430470
ANK2_WH	ANK2	HSP90AA1	FALSE	14	102547075	102606036
ANK2_WH	ANK2	RPL31	FALSE	2	101618177	101640494
ANK2_WH	ANK2	AP3D1	FALSE	19	2100988	2164464
ANK2_WH	ANK2	C11orf98	FALSE	11	62430288	62432689
ANK2_WH	ANK2	EIF2S2	FALSE	20	32676104	32700138
ANK2_WH	ANK2	HNRNPK	FALSE	9	86582998	86595569
ANK2_WH	ANK2	PALM	FALSE	19	708953	748329
ANK2_WH	ANK2	GNL2	FALSE	1	38032417	38061536
ANK2_WH	ANK2	CASP14	FALSE	19	15160195	15169104
ANK2_WH	ANK2	CDC5L	FALSE	6	44355262	44418163
ANK2_WH	ANK2	EPB41	FALSE	1	29213603	29446553
ANK2_WH	ANK2	HIST1H1B	FALSE	6	27834570	27835359
ANK2_WH	ANK2	EIF1AX	FALSE	X	20142636	20159962
ANK2_WH	ANK2	MARK1	FALSE	1	220701568	220837803
ANK2_WH	ANK2	N4BP2	FALSE	4	40058446	40159872
ANK2_WH	ANK2	RPS25	FALSE	11	118886422	118889401
ANK2_WH	ANK2	RPL19	FALSE	17	37356536	37360980
ANK2_WH	ANK2	HIST1H4A	FALSE	6	26021907	26022278
ANK2_WH	ANK2	RP9	FALSE	7	33134409	33149013
ANK2_WH	ANK2	IGFBP5	FALSE	2	217536828	217560248
ANK2_WH	ANK2	ST14	FALSE	11	130029457	130080271
ANK2_WH	ANK2	PCMT1	FALSE	6	150070579	150132556
ANK2_WH	ANK2	PLCD3	FALSE	17	43186335	43210721
ANK2_WH	ANK2	MRPL22	FALSE	5	154320630	154348971
ANK2_WH	ANK2	ECPAS	FALSE	9	114122972	114247025
ANK2_WH	ANK2	PRPF38A	FALSE	1	52870236	52886511
ANK2_WH	ANK2	AGAP1	FALSE	2	236402733	237040444
ANK2_WH	ANK2	ISCU	FALSE	12	108956358	108963160
ANK2_WH	ANK2	PRSS3	FALSE	9	33750515	33799230
ANK2_WH	ANK2	MRPS12	FALSE	19	39421188	39423802
ANK2_WH	ANK2	RPL9	FALSE	4	39455744	39460568
ANK2_WH	ANK2	RAB11FIP2	FALSE	10	119764427	119806114
ANK2_WH	ANK2	TCOF1	FALSE	5	149737202	149779871
ANK2_WH	ANK2	KIAA0586	FALSE	14	58894103	59015216
ANK2_WH	ANK2	HIST1H1E	FALSE	6	26156559	26157343
ANK2_WH	ANK2	GRB2	FALSE	17	73314157	73401790
ANK2_WH	ANK2	RPL29	FALSE	3	52027616	52029958
ANK2_WH	ANK2	SRRT	FALSE	7	100472733	100486285
ANK2_WH	ANK2	FRG1	FALSE	4	190861943	190884359
ANK2_WH	ANK2	EFTUD2	FALSE	17	42927311	42977030
ANK2_WH	ANK2	RANBP1	FALSE	22	20103461	20114878
ANK2_WH	ANK2	PRPF19	FALSE	11	60658202	60674060
ANK2_WH	ANK2	RPS11	FALSE	19	49999622	50002946
ANK2_WH	ANK2	RPL38	FALSE	17	72199721	72206794
ANK2_WH	ANK2	RPL11	FALSE	1	24018269	24022915
ANK2_WH	ANK2	RPS4Y1	FALSE	Y	2709527	2800041
ANK2_WH	ANK2	RPL30	FALSE	8	99037079	99058697
ANK2_WH	ANK2	TXN	FALSE	9	113006091	113018920
ANK2_WH	ANK2	DDX5	FALSE	17	62495734	62504317
ANK2_WH	ANK2	FAM133B	FALSE	7	92190107	92219708
ANK2_WH	ANK2	KRT77	FALSE	12	53083410	53097247
ANK2_WH	ANK2	SLC25A3	FALSE	12	98987369	98995946
ANK2_WH	ANK2	CAT	FALSE	11	34460472	34493609
ANK2_WH	ANK2	SON	FALSE	21	34914924	34949812
ANK2_WH	ANK2	FYN	FALSE	6	111981535	112194655
ANK2_WH	ANK2	RPS2	FALSE	16	2012053	2014861
ANK2_WH	ANK2	RPS6	FALSE	9	19375713	19380252
ANK2_WH	ANK2	EPB41L5	FALSE	2	120770581	120936695
ANK2_WH	ANK2	PHF6	FALSE	X	133507283	133562820
ANK2_WH	ANK2	CCDC124	FALSE	19	18043825	18054800
ANK2_WH	ANK2	HNRNPU	FALSE	1	245014468	245027844
ANK2_WH	ANK2	MRPL33	FALSE	2	27994584	28210954
ANK2_WH	ANK2	RRP12	FALSE	10	99116115	99161127
ANK2_WH	ANK2	TUBB2B	FALSE	6	3224495	3231964
ANK2_WH	ANK2	KRT5	FALSE	12	52908359	52914471
ANK2_WH	ANK2	H2AFY	FALSE	5	134669590	134735604
ANK2_WH	ANK2	PEG10	FALSE	7	94285637	94299007
ANK2_WH	ANK2	YBX2	FALSE	17	7191571	7197934
ANK2_WH	ANK2	TMA16	FALSE	4	164415594	164441691
ANK2_WH	ANK2	KRT16	FALSE	17	39766030	39772151
ANK2_WH	ANK2	CNTN1	FALSE	12	41086244	41466220
ANK2_WH	ANK2	ARL6IP4	FALSE	12	123464607	123467456
ANK2_WH	ANK2	POM121B	FALSE	7	72758454	72767456
ANK2_WH	ANK2	KRT14	FALSE	17	39738531	39743173
ANK2_WH	ANK2	KRT10	FALSE	17	38974369	38978847
ANK2_WH	ANK2	GNL3	FALSE	3	52715172	52728508
ANK2_WH	ANK2	LRRC59	FALSE	17	48452420	48474914
ANK2_WH	ANK2	SNRNP200	FALSE	2	96940074	96971297
ANK2_WH	ANK2	RPL37A	FALSE	2	217362912	217443903
ANK2_WH	ANK2	RPL23	FALSE	17	37004118	37010096
ANK2_WH	ANK2	KRT9	FALSE	17	39722096	39728310
ANK2_WH	ANK2	SLC25A6	FALSE	X	1505045	1511617
ANK2_WH	ANK2	CAMKV	FALSE	3	49895421	49907655
ANK2_WH	ANK2	TFAM	FALSE	10	60144782	60158981
ANK2_WH	ANK2	NSUN5	FALSE	7	72767474	72773824
ANK2_WH	ANK2	RPL28	FALSE	19	55896713	55914612
ANK2_WH	ANK2	SLIT2	FALSE	4	20254883	20622184
ANK2_WH	ANK2	PPP1CC	FALSE	12	111157485	111180744
ANK2_WH	ANK2	PPP1R18	FALSE	6	30634035	30645541
ANK2_WH	ANK2	MAPK9	FALSE	5	179660143	179719099
ANK2_WH	ANK2	TBC1D10B	FALSE	16	30368423	30381585
ANK2_WH	ANK2	RPS3	FALSE	11	75110530	75133324
ANK2_WH	ANK2	U2SURP	FALSE	3	142683339	142779567
ANK2_WH	ANK2	RPL32	FALSE	3	12875984	12883087
ANK2_WH	ANK2	RPL8	FALSE	8	146015150	146017972
ANK2_WH	ANK2	SERBP1	FALSE	1	67873493	67896098
ANK2_WH	ANK2	DES	FALSE	2	220283099	220291461
ANK2_WH	ANK2	HACD3	FALSE	15	65822756	65870687
ANK2_WH	ANK2	PSD	FALSE	10	104162376	104181296
ANK2_WH	ANK2	RBM39	FALSE	20	34291531	34330234
ANK2_WH	ANK2	ATP5PO	FALSE	21	35275757	35288118
ANK2_WH	ANK2	PRSS1	FALSE	7	142457319	142460923
ANK2_WH	ANK2	KRT78	FALSE	12	53231588	53242876
ANK2_WH	ANK2	CHTOP	FALSE	1	153606525	153618782
ANK2_WH	ANK2	TSR1	FALSE	17	2225797	2240801
ANK2_WH	ANK2	MRPL16	FALSE	11	59573608	59578345
ANK2_WH	ANK2	PLEKHA6	FALSE	1	204187979	204346793
ANK2_WH	ANK2	RPS24	FALSE	10	79793518	79816570
ANK2_WH	ANK2	CEP170	FALSE	1	243287730	243418650
ANK2_WH	ANK2	CARS	FALSE	11	3022152	3078843
ANK2_WH	ANK2	RPL35	FALSE	9	127620159	127624260
ANK2_WH	ANK2	HNRNPH1	FALSE	5	179041179	179061785
ANK2_WH	ANK2	ATP5F1B	FALSE	12	57031959	57039768
ANK2_WH	ANK2	UTP11	FALSE	1	38474930	38490492
ANK2	ANK2	IGLV2-8	TRUE	22	23165153	23165787
ANK2	ANK2	ENO1	TRUE	1	8921061	8939308
ANK2	ANK2	SPTBN1	TRUE	2	54683422	54896812
ANK2	ANK2	MPRIP	TRUE	17	16945859	17120993
ANK2	ANK2	GNB1	TRUE	1	1716729	1822495
ANK2	ANK2	COL1A1	TRUE	17	48260650	48278993
ANK2	ANK2	FSCN1	TRUE	7	5632439	5646286
ANK2	ANK2	HNRNPM	TRUE	19	8509651	8553998
ANK2	ANK2	RPUSD3	TRUE	3	9879533	9886286
ANK2	ANK2	PRDX1	TRUE	1	45976708	45988719
ANK2	ANK2	EPB41L3	TRUE	18	5392383	5630699
ANK2	ANK2	PGAM5	TRUE	12	133287405	133299228
ANK2	ANK2	CKAP4	TRUE	12	106631655	106698057
ANK2	ANK2	SPTBN2	TRUE	11	66452719	66496697
ANK2	ANK2	ACTB	TRUE	7	5566782	5603415
ANK2	ANK2	DYNC1H1	TRUE	14	102430865	102517129
ANK2	ANK2	MOCS2	TRUE	5	52391509	52405893
ANK2	ANK2	TANC2	TRUE	17	61086917	61505060
ANK2	ANK2	TUBA1A	TRUE	12	49578579	49583107
ANK2	ANK2	CYTH3	TRUE	7	6201407	6312275
ANK2	ANK2	RPL27	TRUE	17	41150290	41154976
ANK2	ANK2	NEFM	TRUE	8	24770525	24776607
ANK2	ANK2	NPM1	TRUE	5	170814120	170838141
ANK2	ANK2	DAPK1	TRUE	9	90112143	90323548
ANK2	ANK2	RFC1	TRUE	4	39289076	39367995
ANK2	ANK2	CALM2	TRUE	2	47387221	47403740
ANK2	ANK2	USP42	TRUE	7	6144515	6201195
ANK2	ANK2	PSD2	TRUE	5	139175406	139224051
ANK2	ANK2	YWHAE	TRUE	17	1247566	1303672
ANK2	ANK2	CACNA2D1	TRUE	7	81575760	82073114
ANK2	ANK2	SYNCRIP	TRUE	6	86318053	86353510
ANK2	ANK2	NCL	TRUE	2	232318242	232348352
ANK2	ANK2	CTNNA2	TRUE	2	79412357	80875905
ANK2	ANK2	SPTAN1	TRUE	9	131314866	131395941
ANK2	ANK2	RPL34	TRUE	4	109541722	109551568
ANK2	ANK2	RPL18A	TRUE	19	17970685	17974962
ANK2	ANK2	MYO1B	TRUE	2	192109911	192290115
ANK2	ANK2	MACF1	TRUE	1	39546988	39952849
ANK2	ANK2	INA	TRUE	10	105036920	105050108
ANK2	ANK2	KRT2	TRUE	12	53038342	53045948
ANK2	ANK2	TUBB2A	TRUE	6	3153903	3157760
ANK2	ANK2	PPIA	TRUE	7	44836279	44864163
ANK2	ANK2	VDAC2	TRUE	10	76969912	76991206
ANK2	ANK2	PRPF8	TRUE	17	1553923	1588176
ANK2	ANK2	GABARAPL2	TRUE	16	75600249	75611779
ANK2	ANK2	RTP1	TRUE	3	186915274	186919253
ANK2	ANK2	MYH9	TRUE	22	36677327	36784063
ANK2	ANK2	NONO	TRUE	X	70503042	70521018
ANK2	ANK2	RRBP1	TRUE	20	17594323	17662940
ANK2	ANK2	HSPA5	TRUE	9	127997132	128003609
ANK2	ANK2	HSPA1A	TRUE	6	31765431	31767913
ANK2	ANK2	ATP6V1B1	TRUE	2	71163013	71192537
ANK2	ANK2	GNAQ	TRUE	9	80331003	80646374
ANK2	ANK2	C3	TRUE	19	6677715	6730573
ANK2	ANK2	RABL6	TRUE	9	139702374	139735639
ANK2	ANK2	VIRMA	TRUE	8	95499917	95565757
ANK2	ANK2	HSPA8	TRUE	11	122928197	122933938
