TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Global	ASD	18290	ANK2_noInWeb	SET	96	-0.030728	-0.0022204	0.091095	0.63206
Conditional	ASD	1480	ARID1B_noInWeb	SET	31	-0.020701	-0.0029654	0.18545	0.54443
Global	ASD	18290	ARID1B_noInWeb	SET	31	0.044449	0.0018284	0.14594	0.38035
Conditional	ASD	1492	CHD8_noInWeb	SET	79	-0.18849	-0.042223	0.11561	0.94837
Global	ASD	18290	CHD8_noInWeb	SET	79	-0.040393	-0.002649	0.10113	0.65521
Conditional	ASD	1480	CTNNB1_noInWeb	SET	10	-0.30953	-0.025366	0.32586	0.82884
Global	ASD	18290	CTNNB1_noInWeb	SET	10	-0.1121	-0.0026205	0.2654	0.66362
Conditional	ASD	1656	DYRK1A_noInWeb	SET	531	0.054038	0.025229	0.052257	0.15063
Global	ASD	18290	DYRK1A_noInWeb	SET	531	0.0191	0.0032069	0.038644	0.31057
Conditional	ASD	977	GIGYF1_noInWeb	SET	33	-0.23519	-0.04251	0.17131	0.91494
Global	ASD	18290	GIGYF1_noInWeb	SET	33	-0.15786	-0.0066996	0.14464	0.86245
Conditional	ASD	1227	MED13L_noInWeb	SET	31	-0.12382	-0.019438	0.17095	0.76548
Global	ASD	18290	MED13L_noInWeb	SET	31	-0.2305	-0.0094816	0.14877	0.93934
Conditional	ASD	231	PTEN_noInWeb	SET	2	0.24562	0.022805	0.71773	0.36625
Global	ASD	18290	PTEN_noInWeb	SET	2	-0.3062	-0.0032018	0.72994	0.66257
Conditional	ASD	878	SCN2A_noInWeb	SET	55	-0.15633	-0.037902	0.14327	0.86224
Global	ASD	18290	SCN2A_noInWeb	SET	55	-0.098319	-0.0053836	0.12427	0.78558
Conditional	ASD	1828	SHANK3_noInWeb	SET	122	0.058265	0.014545	0.096488	0.27301
Global	ASD	18290	SHANK3_noInWeb	SET	122	-0.046674	-0.0037993	0.079829	0.72061
Conditional	ASD	1179	SYNGAP1_noInWeb	SET	127	0.26039	0.080761	0.094991	0.0031093
Global	ASD	18290	SYNGAP1_noInWeb	SET	127	0.1472	0.012223	0.083304	0.038627
Conditional	ASD	1515	TLK2_noInWeb	SET	54	0.13271	0.024612	0.14289	0.1766
Global	ASD	18290	TLK2_noInWeb	SET	54	0.078159	0.0042407	0.11948	0.2565
Conditional	ASD	3032	COMBINED_noInWeb	SET	900	0.056252	0.025704	0.03757	0.067217
Global	ASD	18278	COMBINED_noInWeb	SET	899	0.0069183	0.0014962	0.030249	0.40955
Conditional	ASD	16289	InWeb	SET	1564	0.037249	0.010974	0.02362	0.057413
Global	ASD	18278	InWeb	SET	1564	0.035262	0.009864	0.023504	0.066783
Conditional	ADHD	1233	ADNP	SET	11	-0.63588	-0.059816	0.31363	0.97858
Global	ADHD	18223	ADNP	SET	11	-0.60177	-0.014781	0.25269	0.99137
Conditional	ADHD	1622	ANK2	SET	102	-0.00058212	-0.00014136	0.10561	0.5022
Global	ADHD	18223	ANK2	SET	102	0.02478	0.0018487	0.090586	0.39222
Conditional	ADHD	1485	ARID1B	SET	43	-0.040781	-0.0068405	0.15696	0.60247
Global	ADHD	18223	ARID1B	SET	43	-0.036087	-0.0017509	0.1425	0.59996
Conditional	ADHD	1485	CHD8	SET	79	0.027834	0.0062489	0.123	0.4105
Global	ADHD	18223	CHD8	SET	79	0.052437	0.0034452	0.10503	0.30881
Conditional	ADHD	1485	CTNNB1	SET	23	-0.17624	-0.02177	0.21424	0.79457
Global	ADHD	18223	CTNNB1	SET	23	0.024921	0.00088484	0.18052	0.4451
Conditional	ADHD	1689	DYRK1A	SET	567	0.056735	0.0268	0.051898	0.13724
Global	ADHD	18223	DYRK1A	SET	567	0.053739	0.0093308	0.039051	0.084402
Conditional	ADHD	969	GIGYF1	SET	32	-0.17917	-0.032034	0.1842	0.83452
Global	ADHD	18223	GIGYF1	SET	32	-0.14161	-0.0059293	0.1597	0.81238
Conditional	ADHD	1233	MED13L	SET	40	-0.058879	-0.010436	0.16575	0.63876
Global	ADHD	18223	MED13L	SET	40	-0.16327	-0.0076412	0.1563	0.85189
Conditional	ADHD	229	PTEN	SET	3	0.31801	0.036239	0.63058	0.30727
Global	ADHD	18223	PTEN	SET	3	-0.12329	-0.0015818	0.36191	0.63332
Conditional	ADHD	876	SCN2A	SET	56	-0.089658	-0.021945	0.14529	0.73133
Global	ADHD	18223	SCN2A	SET	56	0.03759	0.0020807	0.12233	0.37932
Conditional	ADHD	1822	SHANK3	SET	122	0.047464	0.011867	0.10127	0.31967
Global	ADHD	18223	SHANK3	SET	122	0.026196	0.0021363	0.08559	0.37978
Conditional	ADHD	1170	SYNGAP1	SET	128	0.18987	0.059292	0.1009	0.030068
Global	ADHD	18223	SYNGAP1	SET	128	0.03903	0.0032596	0.07928	0.31126
Conditional	ADHD	1506	TLK2	SET	52	0.021584	0.0039422	0.14609	0.44128
Global	ADHD	18223	TLK2	SET	52	-0.061969	-0.0033056	0.12893	0.68462
Conditional	ADHD	3080	COMBINED	SET	955	0.024065	0.011132	0.037679	0.26154
Global	ADHD	18211	COMBINED	SET	955	0.021499	0.0047925	0.030578	0.24101
Conditional	ADHD	1232	ADNP_noInWeb	SET	10	-0.61394	-0.055109	0.31663	0.97363
Global	ADHD	18223	ADNP_noInWeb	SET	10	-0.58782	-0.013767	0.2545	0.98954
Conditional	ADHD	1615	ANK2_noInWeb	SET	95	-0.077704	-0.018289	0.11356	0.75304
Global	ADHD	18223	ANK2_noInWeb	SET	95	-0.005779	-0.00041618	0.093988	0.52451
Conditional	ADHD	1472	ARID1B_noInWeb	SET	30	-0.13945	-0.019711	0.18538	0.77398
Global	ADHD	18223	ARID1B_noInWeb	SET	30	-0.13552	-0.0054944	0.16192	0.79869
Conditional	ADHD	1484	CHD8_noInWeb	SET	78	0.056547	0.012623	0.12353	0.3236
Global	ADHD	18223	CHD8_noInWeb	SET	78	0.10473	0.0068372	0.1063	0.16226
Conditional	ADHD	1472	CTNNB1_noInWeb	SET	10	-0.32881	-0.027018	0.30387	0.86029
Global	ADHD	18223	CTNNB1_noInWeb	SET	10	0.093304	0.0021852	0.31137	0.38222
Conditional	ADHD	1651	DYRK1A_noInWeb	SET	529	0.046443	0.021679	0.053014	0.19057
Global	ADHD	18223	DYRK1A_noInWeb	SET	529	0.066116	0.0111	0.040688	0.052098
Conditional	ADHD	969	GIGYF1_noInWeb	SET	32	-0.17917	-0.032034	0.1842	0.83452
Global	ADHD	18223	GIGYF1_noInWeb	SET	32	-0.14161	-0.0059293	0.1597	0.81238
Conditional	ADHD	1223	MED13L_noInWeb	SET	30	-0.043571	-0.0067427	0.18216	0.5945
Global	ADHD	18223	MED13L_noInWeb	SET	30	-0.22593	-0.0091598	0.17747	0.89849
Conditional	ADHD	228	PTEN_noInWeb	SET	2	0.39591	0.036999	0.77214	0.30432
Global	ADHD	18223	PTEN_noInWeb	SET	2	-0.50974	-0.00534	0.72055	0.76034
Conditional	ADHD	875	SCN2A_noInWeb	SET	55	-0.11054	-0.026843	0.1463	0.77494
Global	ADHD	18223	SCN2A_noInWeb	SET	55	0.022912	0.0012569	0.12314	0.4262
Conditional	ADHD	1820	SHANK3_noInWeb	SET	120	0.051164	0.012701	0.1018	0.30766
Global	ADHD	18223	SHANK3_noInWeb	SET	120	0.02297	0.0018579	0.086421	0.3952
Conditional	ADHD	1169	SYNGAP1_noInWeb	SET	127	0.18662	0.0581	0.10127	0.032809
Global	ADHD	18223	SYNGAP1_noInWeb	SET	127	0.033832	0.0028146	0.079533	0.33528
Conditional	ADHD	1505	TLK2_noInWeb	SET	51	0.0027411	0.00049614	0.14727	0.49258
Global	ADHD	18223	TLK2_noInWeb	SET	51	-0.090421	-0.0047769	0.13144	0.75424
Conditional	ADHD	3016	COMBINED_noInWeb	SET	891	0.014375	0.0065596	0.038665	0.35504
Global	ADHD	18211	COMBINED_noInWeb	SET	890	0.020074	0.0043281	0.031706	0.26332
Conditional	ADHD	16244	InWeb	SET	1561	0.028585	0.008425	0.024824	0.12477
Global	ADHD	18211	InWeb	SET	1561	0.024779	0.0069369	0.024506	0.15599
Conditional	BIP	1240	ADNP	SET	12	0.13409	0.013132	0.28943	0.32162
Global	BIP	18400	ADNP	SET	12	0.12963	0.0033094	0.24573	0.29892
Conditional	BIP	1636	ANK2	SET	104	-0.029141	-0.0071122	0.12025	0.59572
Global	BIP	18400	ANK2	SET	104	0.084261	0.0063171	0.091078	0.17745
Conditional	BIP	1497	ARID1B	SET	45	0.17153	0.029299	0.16716	0.1525
Global	BIP	18400	ARID1B	SET	45	-0.045429	-0.0022439	0.13745	0.62949
Conditional	BIP	1497	CHD8	SET	81	-0.023828	-0.0053925	0.12648	0.5747
Global	BIP	18400	CHD8	SET	81	0.098874	0.0065459	0.10935	0.18296
Conditional	BIP	1497	CTNNB1	SET	23	-0.092001	-0.011319	0.22816	0.65658
Global	BIP	18400	CTNNB1	SET	23	0.1229	0.0043425	0.19493	0.2642
Conditional	BIP	1698	DYRK1A	SET	570	0.091538	0.04324	0.056861	0.053813
Global	BIP	18400	DYRK1A	SET	570	0.056081	0.0097167	0.037977	0.06989
Conditional	BIP	978	GIGYF1	SET	32	0.063853	0.011365	0.20257	0.37634
Global	BIP	18400	GIGYF1	SET	32	-0.1091	-0.0045461	0.1656	0.74499
Conditional	BIP	1240	MED13L	SET	42	0.045388	0.0082139	0.16117	0.38914
Global	BIP	18400	MED13L	SET	42	0.065567	0.0031291	0.13795	0.3173
Conditional	BIP	232	PTEN	SET	3	-0.02383	-0.0026981	0.68112	0.51394
Global	BIP	18400	PTEN	SET	3	0.025926	0.00033103	0.43887	0.47645
Conditional	BIP	886	SCN2A	SET	57	0.084231	0.020678	0.1659	0.30589
Global	BIP	18400	SCN2A	SET	57	-0.041609	-0.0023124	0.12509	0.63029
Conditional	BIP	1837	SHANK3	SET	126	0.077549	0.019606	0.1021	0.22383
Global	BIP	18400	SHANK3	SET	126	0.058459	0.0048211	0.079156	0.2301
Conditional	BIP	1181	SYNGAP1	SET	128	0.12682	0.039441	0.10198	0.10695
Global	BIP	18400	SYNGAP1	SET	128	0.14189	0.011793	0.080493	0.038986
Conditional	BIP	1520	TLK2	SET	55	-0.026987	-0.0050414	0.14795	0.57236
Global	BIP	18400	TLK2	SET	55	0.095499	0.0052135	0.12753	0.22699
Conditional	BIP	3111	COMBINED	SET	969	0.079777	0.036951	0.039777	0.022496
Global	BIP	18388	COMBINED	SET	969	0.044568	0.009958	0.03021	0.070081
Conditional	BIP	1239	ADNP_noInWeb	SET	11	0.1849	0.017352	0.33941	0.29301
Global	BIP	18400	ADNP_noInWeb	SET	11	0.10696	0.0026144	0.2535	0.33655
Conditional	BIP	1629	ANK2_noInWeb	SET	97	-0.020603	-0.0048771	0.12489	0.56551
Global	BIP	18400	ANK2_noInWeb	SET	97	0.10886	0.007883	0.094259	0.12409
Conditional	BIP	1484	ARID1B_noInWeb	SET	32	0.086323	0.012543	0.19376	0.32801
Global	BIP	18400	ARID1B_noInWeb	SET	32	-0.1547	-0.0064461	0.16008	0.83307
Conditional	BIP	1496	CHD8_noInWeb	SET	80	-0.030953	-0.0069662	0.12716	0.59614
Global	BIP	18400	CHD8_noInWeb	SET	80	0.097203	0.0063956	0.11009	0.18864
Conditional	BIP	1484	CTNNB1_noInWeb	SET	10	-0.14776	-0.012093	0.36566	0.6569
Global	BIP	18400	CTNNB1_noInWeb	SET	10	0.14766	0.0034416	0.27506	0.2957
Conditional	BIP	1660	DYRK1A_noInWeb	SET	532	0.085973	0.040132	0.058587	0.071227
Global	BIP	18400	DYRK1A_noInWeb	SET	532	0.053047	0.0088889	0.039335	0.088748
Conditional	BIP	978	GIGYF1_noInWeb	SET	32	0.063853	0.011365	0.20257	0.37634
Global	BIP	18400	GIGYF1_noInWeb	SET	32	-0.1091	-0.0045461	0.16562	0.74497
Conditional	BIP	1230	MED13L_noInWeb	SET	32	0.061227	0.0097503	0.17512	0.36334
Global	BIP	18400	MED13L_noInWeb	SET	32	0.13019	0.0054247	0.16799	0.21919
Conditional	BIP	231	PTEN_noInWeb	SET	2	0.678	0.06295	0.8298	0.20738
Global	BIP	18400	PTEN_noInWeb	SET	2	0.34762	0.0036241	0.76939	0.32571
Conditional	BIP	885	SCN2A_noInWeb	SET	56	0.060167	0.014657	0.16698	0.35935
Global	BIP	18400	SCN2A_noInWeb	SET	56	-0.06609	-0.0036406	0.126	0.70004
Conditional	BIP	1835	SHANK3_noInWeb	SET	124	0.089212	0.0224	0.10251	0.19214
Global	BIP	18400	SHANK3_noInWeb	SET	124	0.067199	0.005498	0.079475	0.19892
Conditional	BIP	1180	SYNGAP1_noInWeb	SET	127	0.1364	0.042289	0.10225	0.091231
Global	BIP	18400	SYNGAP1_noInWeb	SET	127	0.14954	0.012381	0.080729	0.031996
Conditional	BIP	1519	TLK2_noInWeb	SET	54	-0.017736	-0.0032851	0.14901	0.54736
Global	BIP	18400	TLK2_noInWeb	SET	54	0.098244	0.0053146	0.12781	0.22105
Conditional	BIP	3047	COMBINED_noInWeb	SET	905	0.076101	0.034779	0.040788	0.03109
Global	BIP	18388	COMBINED_noInWeb	SET	904	0.04133	0.0089361	0.031295	0.093319
Conditional	BIP	16339	InWeb	SET	1564	0.054483	0.01603	0.024683	0.013656
Global	BIP	18388	InWeb	SET	1564	0.059819	0.016688	0.024411	0.0071405
Conditional	MDD	1236	ADNP	SET	11	0.081555	0.0076625	0.32838	0.40195
Global	MDD	18234	ADNP	SET	11	-0.0031417	-7.7145e-05	0.24916	0.50503
Conditional	MDD	1627	ANK2	SET	104	0.021245	0.0051985	0.12031	0.42993
Global	MDD	18234	ANK2	SET	104	0.10128	0.0076274	0.096881	0.14792
Conditional	MDD	1489	ARID1B	SET	44	0.24956	0.042276	0.1598	0.059296
Global	MDD	18234	ARID1B	SET	44	0.22306	0.010945	0.15846	0.079625
Conditional	MDD	1489	CHD8	SET	80	0.071452	0.016116	0.13115	0.29298
Global	MDD	18234	CHD8	SET	80	0.048808	0.0032259	0.11156	0.33087
Conditional	MDD	1489	CTNNB1	SET	23	0.1286	0.015864	0.24164	0.29733
Global	MDD	18234	CTNNB1	SET	23	0.17495	0.0062097	0.20894	0.20122
Conditional	MDD	1690	DYRK1A	SET	566	0.02887	0.013629	0.059226	0.313
Global	MDD	18234	DYRK1A	SET	566	0.041853	0.0072588	0.041421	0.15615
Conditional	MDD	971	GIGYF1	SET	32	9.8189e-05	1.7538e-05	0.20857	0.49981
Global	MDD	18234	GIGYF1	SET	32	0.023153	0.00096911	0.16735	0.44498
Conditional	MDD	1236	MED13L	SET	41	-0.15741	-0.028202	0.17258	0.81905
Global	MDD	18234	MED13L	SET	41	-0.26673	-0.012634	0.16287	0.94924
Conditional	MDD	232	PTEN	SET	3	-0.75037	-0.084958	0.80078	0.82513
Global	MDD	18234	PTEN	SET	3	-0.23367	-0.0029971	0.47592	0.68828
Conditional	MDD	879	SCN2A	SET	56	-0.027859	-0.0068079	0.16423	0.56733
Global	MDD	18234	SCN2A	SET	56	-0.0027356	-0.00015137	0.13442	0.50812
Conditional	MDD	1828	SHANK3	SET	125	0.13431	0.033909	0.10298	0.09617
Global	MDD	18234	SHANK3	SET	125	0.11621	0.0095894	0.086355	0.089202
Conditional	MDD	1173	SYNGAP1	SET	128	0.037629	0.011737	0.11468	0.37144
Global	MDD	18234	SYNGAP1	SET	128	0.11513	0.0096127	0.090437	0.10151
Conditional	MDD	1512	TLK2	SET	54	0.031707	0.0058861	0.1605	0.42171
Global	MDD	18234	TLK2	SET	54	0.064311	0.0034947	0.1309	0.31162
Conditional	MDD	3090	COMBINED	SET	962	0.018324	0.0084861	0.041529	0.32954
Global	MDD	18222	COMBINED	SET	962	0.046599	0.010421	0.032806	0.077752
Conditional	MDD	1235	ADNP_noInWeb	SET	10	0.058178	0.005216	0.33122	0.4303
Global	MDD	18234	ADNP_noInWeb	SET	10	-0.078157	-0.0018299	0.27029	0.61377
Conditional	MDD	1620	ANK2_noInWeb	SET	97	-0.014723	-0.0034943	0.12695	0.54616
Global	MDD	18234	ANK2_noInWeb	SET	97	0.074699	0.0054339	0.10076	0.22924
Conditional	MDD	1476	ARID1B_noInWeb	SET	31	0.26425	0.037905	0.19014	0.082404
Global	MDD	18234	ARID1B_noInWeb	SET	31	0.169	0.0069624	0.18558	0.18125
Conditional	MDD	1488	CHD8_noInWeb	SET	79	0.081212	0.018215	0.13184	0.26901
Global	MDD	18234	CHD8_noInWeb	SET	79	0.040758	0.0026771	0.11247	0.35853
Conditional	MDD	1476	CTNNB1_noInWeb	SET	10	-0.44622	-0.036617	0.38474	0.87684
Global	MDD	18234	CTNNB1_noInWeb	SET	10	-0.2936	-0.0068741	0.33151	0.81209
Conditional	MDD	1652	DYRK1A_noInWeb	SET	528	0.01002	0.0046739	0.060872	0.43464
Global	MDD	18234	DYRK1A_noInWeb	SET	528	0.033166	0.0055617	0.043082	0.2207
Conditional	MDD	971	GIGYF1_noInWeb	SET	32	9.8189e-05	1.7538e-05	0.20857	0.49981
Global	MDD	18234	GIGYF1_noInWeb	SET	32	0.023153	0.00096911	0.16735	0.44498
Conditional	MDD	1226	MED13L_noInWeb	SET	31	-0.12542	-0.019698	0.18875	0.74675
Global	MDD	18234	MED13L_noInWeb	SET	31	-0.18985	-0.0078216	0.17543	0.86041
Conditional	MDD	231	PTEN_noInWeb	SET	2	0.28935	0.026865	0.97321	0.38325
Global	MDD	18234	PTEN_noInWeb	SET	2	0.064717	0.00067777	0.52069	0.45054
Conditional	MDD	878	SCN2A_noInWeb	SET	55	-0.010118	-0.0024533	0.16544	0.52438
Global	MDD	18234	SCN2A_noInWeb	SET	55	0.013429	0.00073643	0.13534	0.46048
Conditional	MDD	1826	SHANK3_noInWeb	SET	123	0.1284	0.032192	0.1052	0.11122
Global	MDD	18234	SHANK3_noInWeb	SET	123	0.11181	0.0091525	0.086739	0.098703
Conditional	MDD	1172	SYNGAP1_noInWeb	SET	127	0.041917	0.013035	0.11509	0.35788
Global	MDD	18234	SYNGAP1_noInWeb	SET	127	0.11908	0.009904	0.090734	0.094695
Conditional	MDD	1511	TLK2_noInWeb	SET	53	0.039483	0.0072662	0.16177	0.4036
Global	MDD	18234	TLK2_noInWeb	SET	53	0.068783	0.003703	0.13405	0.30394
Conditional	MDD	3026	COMBINED_noInWeb	SET	898	0.0017184	0.00078513	0.043107	0.4841
Global	MDD	18222	COMBINED_noInWeb	SET	897	0.036269	0.0078467	0.033949	0.14269
Conditional	MDD	16249	InWeb	SET	1560	-0.0050894	-0.0014994	0.026136	0.5772
Global	MDD	18222	InWeb	SET	1560	-0.0015825	-0.00044277	0.025793	0.52446
Conditional	SCZ	1284	ADNP	SET	12	0.12297	0.011837	0.35061	0.36292
Global	SCZ	19186	ADNP	SET	12	0.32196	0.0080496	0.27763	0.1231
Conditional	SCZ	1690	ANK2	SET	106	-0.032311	-0.0078364	0.12996	0.59816
Global	SCZ	19186	ANK2	SET	106	0.057595	0.0042693	0.097392	0.27714
Conditional	SCZ	1547	ARID1B	SET	45	0.059877	0.010066	0.18414	0.37255
Global	SCZ	19186	ARID1B	SET	45	-0.053756	-0.0026004	0.14204	0.64745
Conditional	SCZ	1547	CHD8	SET	82	0.18777	0.042083	0.14244	0.093821
Global	SCZ	19186	CHD8	SET	82	0.2123	0.01385	0.11098	0.027891
Conditional	SCZ	1547	CTNNB1	SET	23	-0.35919	-0.043484	0.26296	0.91392
Global	SCZ	19186	CTNNB1	SET	23	-0.1435	-0.0049658	0.2035	0.75964
Conditional	SCZ	1759	DYRK1A	SET	596	0.15015	0.071088	0.066226	0.011751
Global	SCZ	19186	DYRK1A	SET	596	0.1082	0.018772	0.042879	0.005819
Conditional	SCZ	1011	GIGYF1	SET	35	0.15457	0.028272	0.2221	0.24331
Global	SCZ	19186	GIGYF1	SET	35	0.05792	0.0024716	0.16049	0.35909
Conditional	SCZ	1284	MED13L	SET	45	-0.15667	-0.028823	0.18306	0.80388
Global	SCZ	19186	MED13L	SET	45	-0.094621	-0.0045772	0.16367	0.7184
Conditional	SCZ	239	PTEN	SET	3	-0.38295	-0.042724	0.91924	0.66132
Global	SCZ	19186	PTEN	SET	3	-0.72616	-0.0090798	0.89769	0.79071
Conditional	SCZ	919	SCN2A	SET	58	-0.055339	-0.013464	0.18397	0.61818
Global	SCZ	19186	SCN2A	SET	58	-0.0027702	-0.00015208	0.13048	0.50847
Conditional	SCZ	1905	SHANK3	SET	128	0.21037	0.052679	0.11437	0.033014
Global	SCZ	19186	SHANK3	SET	128	0.06546	0.005329	0.091942	0.23825
Conditional	SCZ	1221	SYNGAP1	SET	133	0.044513	0.013874	0.12529	0.36122
Global	SCZ	19186	SYNGAP1	SET	133	-0.00023588	-1.9572e-05	0.088521	0.50106
Conditional	SCZ	1572	TLK2	SET	59	0.08404	0.015978	0.16851	0.30903
Global	SCZ	19186	TLK2	SET	59	0.076559	0.0042391	0.12319	0.26715
Conditional	SCZ	3218	COMBINED	SET	1007	0.082685	0.038346	0.045217	0.033779
Global	SCZ	19174	COMBINED	SET	1007	0.051108	0.011401	0.033276	0.062294
Conditional	SCZ	1283	ADNP_noInWeb	SET	11	0.15708	0.014488	0.35328	0.32833
Global	SCZ	19186	ADNP_noInWeb	SET	11	0.29679	0.0071047	0.28343	0.14753
Conditional	SCZ	1682	ANK2_noInWeb	SET	98	-0.053985	-0.012649	0.13688	0.65333
Global	SCZ	19186	ANK2_noInWeb	SET	98	0.017402	0.0012405	0.10097	0.43158
Conditional	SCZ	1534	ARID1B_noInWeb	SET	32	0.17577	0.025129	0.21463	0.20648
Global	SCZ	19186	ARID1B_noInWeb	SET	32	-0.08044	-0.0032825	0.17282	0.6792
Conditional	SCZ	1546	CHD8_noInWeb	SET	81	0.1652	0.036821	0.14308	0.12423
Global	SCZ	19186	CHD8_noInWeb	SET	81	0.20897	0.013549	0.11146	0.030425
Conditional	SCZ	1534	CTNNB1_noInWeb	SET	10	-0.89981	-0.072436	0.40643	0.9865
Global	SCZ	19186	CTNNB1_noInWeb	SET	10	-0.30767	-0.0070226	0.31458	0.83596
Conditional	SCZ	1720	DYRK1A_noInWeb	SET	557	0.15275	0.071499	0.068774	0.013242
Global	SCZ	19186	DYRK1A_noInWeb	SET	557	0.11397	0.019135	0.044367	0.0051098
Conditional	SCZ	1011	GIGYF1_noInWeb	SET	35	0.15457	0.028272	0.2221	0.24331
Global	SCZ	19186	GIGYF1_noInWeb	SET	35	0.05792	0.0024716	0.16049	0.35909
Conditional	SCZ	1273	MED13L_noInWeb	SET	34	-0.25306	-0.040818	0.20105	0.89582
Global	SCZ	19186	MED13L_noInWeb	SET	34	-0.19337	-0.0081333	0.19709	0.83672
Conditional	SCZ	238	PTEN_noInWeb	SET	2	-0.3528	-0.032273	1.126	0.62285
Global	SCZ	19186	PTEN_noInWeb	SET	2	-0.89748	-0.009163	0.97718	0.8208
Conditional	SCZ	918	SCN2A_noInWeb	SET	57	-0.061975	-0.014964	0.18527	0.63096
Global	SCZ	19186	SCN2A_noInWeb	SET	57	-0.013907	-0.00075689	0.13122	0.5422
Conditional	SCZ	1903	SHANK3_noInWeb	SET	126	0.22318	0.055508	0.11676	0.028058
Global	SCZ	19186	SHANK3_noInWeb	SET	126	0.074899	0.0060499	0.09257	0.20923
Conditional	SCZ	1220	SYNGAP1_noInWeb	SET	132	0.05114	0.015892	0.12568	0.34208
Global	SCZ	19186	SYNGAP1_noInWeb	SET	132	0.0026881	0.0002222	0.088781	0.48792
Conditional	SCZ	1571	TLK2_noInWeb	SET	58	0.065974	0.012444	0.16969	0.34874
Global	SCZ	19186	TLK2_noInWeb	SET	58	0.051534	0.0028292	0.1242	0.3391
Conditional	SCZ	3153	COMBINED_noInWeb	SET	942	0.068954	0.031566	0.04656	0.069362
Global	SCZ	19174	COMBINED_noInWeb	SET	941	0.042092	0.0090932	0.034275	0.10973
Conditional	SCZ	17020	InWeb	SET	1628	0.062089	0.018262	0.026855	0.010397
Global	SCZ	19174	InWeb	SET	1628	0.060402	0.016837	0.026639	0.011689
Conditional	height	1229	ADNP	SET	12	0.94934	0.093386	0.63606	0.067919
Global	height	18079	ADNP	SET	12	0.70946	0.018272	0.58793	0.11379
Conditional	height	1619	ANK2	SET	102	-0.066797	-0.016234	0.22018	0.61918
Global	height	18079	ANK2	SET	102	-0.077107	-0.0057755	0.1888	0.65851
Conditional	height	1481	ARID1B	SET	44	0.31378	0.053293	0.31892	0.16267
Global	height	18079	ARID1B	SET	44	0.027067	0.0013337	0.28389	0.46202
Conditional	height	1481	CHD8	SET	80	-0.067935	-0.015362	0.246	0.60877
Global	height	18079	CHD8	SET	80	0.031127	0.0020661	0.2125	0.44177
Conditional	height	1481	CTNNB1	SET	23	-1.3392	-0.16565	0.522	0.9948
Global	height	18079	CTNNB1	SET	23	-0.55777	-0.019882	0.40778	0.91431
