Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
MUT	membrane	232	43	68	9	0.939460671584475	ATP2C1,BCR,PRPH,PPIA,HSPA5,DST,CFL1,RPL24,RPL8
WT	nucleoplasm	232	5	64	0	1	
MUT	nucleoplasm	232	43	64	5	0.998540246298063	HSPA1L,MED30,DST,ADD1,PALM
WT	integral component of mitochondrial outer membrane	232	5	0	0	1	
MUT	integral component of mitochondrial outer membrane	232	43	0	0	1	
WT	extracellular space	232	5	22	2	0.0721276916127089	TIMP1,EEF1A1P5
MUT	extracellular space	232	43	22	3	0.816099514251396	LAMC1,PPIA,CFL1
WT	keratin filament	232	5	1	0	1	
MUT	keratin filament	232	43	1	1	0.185344827586207	KRT14
WT	MHC class II protein complex	232	5	0	0	1	
MUT	MHC class II protein complex	232	43	0	0	1	
WT	Golgi apparatus	232	5	9	0	1	
MUT	Golgi apparatus	232	43	9	1	0.847594077068428	ATP2C1
WT	P-body	232	5	1	0	1	
MUT	P-body	232	43	1	0	1	
WT	intermediate filament	232	5	7	0	1	
MUT	intermediate filament	232	43	7	3	0.12066234856019	KRT14,PRPH,DST
WT	nucleus	232	5	79	1	0.878047315875891	EEF1A1P5
MUT	nucleus	232	43	79	20	0.0432682503145713	KRT14,HSPA1L,ATP5PO,MED30,PPIA,TUBB3,TUBA1A,HSPA5,TUBB2A,DST,TUBB2B,TUBB,PHB2,SORBS1,CFL1,ADD1,CALM3,BASP1,TRIOBP,LMO7
WT	host cell nucleus	232	5	1	0	1	
MUT	host cell nucleus	232	43	1	0	1	
WT	cell junction	232	5	10	0	1	
MUT	cell junction	232	43	10	2	0.583104874492112	TJP1,BASP1
WT	ciliary basal body	232	5	0	0	1	
MUT	ciliary basal body	232	43	0	0	1	
WT	late endosome membrane	232	5	0	0	1	
MUT	late endosome membrane	232	43	0	0	1	
WT	integral component of lysosomal membrane	232	5	0	0	1	
MUT	integral component of lysosomal membrane	232	43	0	0	1	
WT	lysosomal proton-transporting V-type ATPase complex	232	5	0	0	1	
MUT	lysosomal proton-transporting V-type ATPase complex	232	43	0	0	1	
WT	axon	232	5	12	0	1	
MUT	axon	232	43	12	6	0.0112011831720585	BCR,MAP6,NEFM,TUBB3,PHB2,PALM
WT	nuclear chromatin	232	5	4	0	1	
MUT	nuclear chromatin	232	43	4	0	1	
WT	postsynaptic membrane	232	5	3	0	1	
MUT	postsynaptic membrane	232	43	3	0	1	
WT	ribosome	232	5	14	0	1	
MUT	ribosome	232	43	14	0	1	
WT	nucleosome	232	5	4	0	1	
MUT	nucleosome	232	43	4	0	1	
WT	Golgi membrane	232	5	4	0	1	
MUT	Golgi membrane	232	43	4	1	0.562164550912317	ATP2C1
WT	mRNA cap binding complex	232	5	0	0	1	
MUT	mRNA cap binding complex	232	43	0	0	1	
WT	cilium	232	5	1	0	1	
MUT	cilium	232	43	1	0	1	
WT	intraciliary transport particle B	232	5	0	0	1	
MUT	intraciliary transport particle B	232	43	0	0	1	
WT	ciliary tip	232	5	1	0	1	
MUT	ciliary tip	232	43	1	0	1	
WT	endoplasmic reticulum	232	5	17	0	1	
MUT	endoplasmic reticulum	232	43	17	3	0.643553230263104	HSPA5,RCN2,RPL24
WT	endoplasmic reticulum membrane	232	5	4	0	1	
MUT	endoplasmic reticulum membrane	232	43	4	2	0.157284458207577	HSPA5,DST
WT	nucleolus	232	5	36	0	1	
MUT	nucleolus	232	43	36	1	0.999689742426704	RCN2
WT	intrinsic component of endoplasmic reticulum membrane	232	5	0	0	1	
MUT	intrinsic component of endoplasmic reticulum membrane	232	43	0	0	1	
WT	extrinsic component of cytoplasmic side of plasma membrane	232	5	1	0	1	
MUT	extrinsic component of cytoplasmic side of plasma membrane	232	43	1	0	1	
WT	organelle membrane contact site	232	5	0	0	1	
MUT	organelle membrane contact site	232	43	0	0	1	
WT	endoplasmic reticulum-plasma membrane contact site	232	5	0	0	1	
MUT	endoplasmic reticulum-plasma membrane contact site	232	43	0	0	1	
WT	early endosome	232	5	2	0	1	
MUT	early endosome	232	43	2	0	1	
WT	microtubule	232	5	17	0	1	
MUT	microtubule	232	43	17	8	0.00493022475587911	MAP6,TUBB3,TUBA1A,TUBB2A,TUBB2B,TUBB,NAV1,KIF5C
WT	microtubule associated complex	232	5	3	0	1	
MUT	microtubule associated complex	232	43	3	0	1	
WT	microtubule cytoskeleton	232	5	9	0	1	
MUT	microtubule cytoskeleton	232	43	9	5	0.0124127734645301	MARK1,TUBA1A,DST,TUBB2B,NAV1
WT	lamellipodium	232	5	15	0	1	
MUT	lamellipodium	232	43	15	2	0.805699566403605	TUBB3,CFL1
WT	filopodium	232	5	8	0	1	
MUT	filopodium	232	43	8	1	0.811387145101258	TUBB3
WT	growth cone	232	5	12	0	1	
MUT	growth cone	232	43	12	4	0.162721114822691	TMOD2,TUBB3,CALM3,BASP1
WT	cell leading edge	232	5	2	0	1	
MUT	cell leading edge	232	43	2	1	0.336990595611285	DST
WT	perikaryon	232	5	4	0	1	
MUT	perikaryon	232	43	4	0	1	
WT	axonal growth cone	232	5	1	0	1	
MUT	axonal growth cone	232	43	1	1	0.185344827586207	KIF5C
WT	perinuclear region of cytoplasm	232	5	10	0	1	
MUT	perinuclear region of cytoplasm	232	43	10	1	0.876981766243574	MAP6
WT	extracellular exosome	232	5	88	4	0.069916104101149	TIMP1,ARPC5L,RPLP2,EEF1A1P5
MUT	extracellular exosome	232	43	88	13	0.909110210552611	KRT14,LAMC1,BCR,PRPH,PPIA,TUBB3,TUBA1A,HSPA5,TUBB2A,TUBB,CFL1,BASP1,RPL24
WT	cellular_component	232	5	2	0	1	
MUT	cellular_component	232	43	2	0	1	
WT	nuclear inner membrane	232	5	0	0	1	
MUT	nuclear inner membrane	232	43	0	0	1	
WT	autophagosome membrane	232	5	0	0	1	
MUT	autophagosome membrane	232	43	0	0	1	
WT	phagocytic cup	232	5	0	0	1	
MUT	phagocytic cup	232	43	0	0	1	
WT	phagocytic vesicle membrane	232	5	0	0	1	
MUT	phagocytic vesicle membrane	232	43	0	0	1	
WT	cell projection	232	5	3	0	1	
MUT	cell projection	232	43	3	1	0.460944527736132	TJP1
WT	cell periphery	232	5	5	0	1	
MUT	cell periphery	232	43	5	2	0.231867633179503	KRT14,PHB2
WT	mitotic spindle	232	5	3	0	1	
MUT	mitotic spindle	232	43	3	0	1	
WT	supramolecular fiber	232	5	0	0	1	
MUT	supramolecular fiber	232	43	0	0	1	
WT	central element	232	5	0	0	1	
MUT	central element	232	43	0	0	1	
WT	chromosome	232	5	2	0	1	
MUT	chromosome	232	43	2	0	1	
WT	collagen-containing extracellular matrix	232	5	5	0	1	
MUT	collagen-containing extracellular matrix	232	43	5	1	0.64473878034552	LAMC1
WT	sarcoplasmic reticulum	232	5	0	0	1	
MUT	sarcoplasmic reticulum	232	43	0	0	1	
WT	podosome	232	5	5	0	1	
MUT	podosome	232	43	5	1	0.64473878034552	TJP1
WT	mitochondrial inner membrane	232	5	4	0	1	
MUT	mitochondrial inner membrane	232	43	4	2	0.157284458207577	ATP5PO,PHB2
WT	centriole	232	5	1	0	1	
MUT	centriole	232	43	1	0	1	
WT	ciliary transition zone	232	5	0	0	1	
MUT	ciliary transition zone	232	43	0	0	1	
WT	ciliary base	232	5	0	0	1	
MUT	ciliary base	232	43	0	0	1	
WT	cytoplasmic ribonucleoprotein granule	232	5	6	0	1	
MUT	cytoplasmic ribonucleoprotein granule	232	43	6	2	0.308257889483348	TUBA1A,TUBB
WT	intracellular membrane-bounded organelle	232	5	7	0	1	
MUT	intracellular membrane-bounded organelle	232	43	7	1	0.766824767295512	HSPA5
WT	sarcolemma	232	5	1	0	1	
MUT	sarcolemma	232	43	1	0	1	
WT	deuterosome	232	5	0	0	1	
MUT	deuterosome	232	43	0	0	1	
WT	Dsl1/NZR complex	232	5	0	0	1	
MUT	Dsl1/NZR complex	232	43	0	0	1	
WT	COP9 signalosome	232	5	5	0	1	
MUT	COP9 signalosome	232	43	5	3	0.0454096957496889	HSPA1L,HSPA5,BASP1
WT	mitochondrial matrix	232	5	4	0	1	
MUT	mitochondrial matrix	232	43	4	1	0.562164550912317	HSPA1L
WT	cytoskeleton	232	5	29	0	1	
MUT	cytoskeleton	232	43	29	7	0.273869435858418	TMOD2,CASS4,MARK1,TUBB,ADD2,ADD1,BASP1
WT	postsynaptic Golgi apparatus	232	5	1	0	1	
MUT	postsynaptic Golgi apparatus	232	43	1	0	1	
WT	photoreceptor outer segment	232	5	2	0	1	
MUT	photoreceptor outer segment	232	43	2	0	1	
WT	photoreceptor inner segment	232	5	1	0	1	
MUT	photoreceptor inner segment	232	43	1	0	1	
WT	centriolar satellite	232	5	2	0	1	
MUT	centriolar satellite	232	43	2	0	1	
WT	Flemming body	232	5	0	0	1	
MUT	Flemming body	232	43	0	0	1	
WT	myofilament	232	5	0	0	1	
MUT	myofilament	232	43	0	0	1	
WT	peroxisome	232	5	1	0	1	
MUT	peroxisome	232	43	1	0	1	
WT	trans-Golgi network	232	5	2	0	1	
MUT	trans-Golgi network	232	43	2	1	0.336990595611285	ATP2C1
WT	extrinsic component of endosome membrane	232	5	0	0	1	
MUT	extrinsic component of endosome membrane	232	43	0	0	1	
WT	early endosome membrane	232	5	0	0	1	
MUT	early endosome membrane	232	43	0	0	1	
WT	acrosomal vesicle	232	5	1	0	1	
MUT	acrosomal vesicle	232	43	1	0	1	
WT	Z disc	232	5	6	0	1	
MUT	Z disc	232	43	6	1	0.712034958517955	DST
WT	stress fiber	232	5	13	0	1	
MUT	stress fiber	232	43	13	2	0.732728650810554	SORBS1,LIMA1
WT	focal adhesion	232	5	57	2	0.358009562110568	ARPC5L,RPLP2
MUT	focal adhesion	232	43	57	11	0.501615083995099	CASS4,PPIA,HSPA5,DST,SORBS1,LIMA1,CFL1,ADD1,TRIOBP,LMO7,RPL8
WT	cell cortex	232	5	7	0	1	
MUT	cell cortex	232	43	7	1	0.766824767295512	DST
WT	blood microparticle	232	5	4	0	1	
MUT	blood microparticle	232	43	4	1	0.562164550912317	HSPA1L
WT	endosome	232	5	0	0	1	
MUT	endosome	232	43	0	0	1	
WT	ESCRT I complex	232	5	0	0	1	
MUT	ESCRT I complex	232	43	0	0	1	
WT	endosome membrane	232	5	4	0	1	
MUT	endosome membrane	232	43	4	1	0.562164550912317	WDR83
WT	host cell	232	5	1	0	1	
MUT	host cell	232	43	1	0	1	
WT	axoneme	232	5	2	0	1	
MUT	axoneme	232	43	2	0	1	
WT	sperm midpiece	232	5	0	0	1	
MUT	sperm midpiece	232	43	0	0	1	
WT	non-motile cilium	232	5	0	0	1	
MUT	non-motile cilium	232	43	0	0	1	
WT	proteasome core complex, beta-subunit complex	232	5	0	0	1	
MUT	proteasome core complex, beta-subunit complex	232	43	0	0	1	
WT	cleavage furrow	232	5	5	1	0.104075184989566	PSD2
MUT	cleavage furrow	232	43	5	1	0.64473878034552	LIMA1
WT	ruffle membrane	232	5	8	1	0.162234097844206	PSD2
MUT	ruffle membrane	232	43	8	1	0.811387145101258	CFL1
WT	dendritic spine	232	5	6	0	1	
MUT	dendritic spine	232	43	6	1	0.712034958517955	BCR
WT	extrinsic component of postsynaptic endosome membrane	232	5	0	0	1	
MUT	extrinsic component of postsynaptic endosome membrane	232	43	0	0	1	
WT	postsynaptic density, intracellular component	232	5	2	0	1	
MUT	postsynaptic density, intracellular component	232	43	2	1	0.336990595611285	BCR
WT	CCR4-NOT complex	232	5	0	0	1	
MUT	CCR4-NOT complex	232	43	0	0	1	
WT	basolateral plasma membrane	232	5	4	0	1	
MUT	basolateral plasma membrane	232	43	4	2	0.157284458207577	PALM,TJP1
WT	endomembrane system	232	5	0	0	1	
MUT	endomembrane system	232	43	0	0	1	
WT	cytoplasmic vesicle	232	5	3	0	1	
MUT	cytoplasmic vesicle	232	43	3	3	0.00600722366089682	DST,ADD2,PALM
WT	cell surface	232	5	6	0	1	
MUT	cell surface	232	43	6	3	0.079087120571814	HSPA5,PHB2,LMO7
WT	integral component of organelle membrane	232	5	0	0	1	
MUT	integral component of organelle membrane	232	43	0	0	1	
WT	transcription factor complex	232	5	2	0	1	
MUT	transcription factor complex	232	43	2	0	1	
WT	microvillus	232	5	2	0	1	
MUT	microvillus	232	43	2	0	1	
WT	stereocilium shaft	232	5	0	0	1	
MUT	stereocilium shaft	232	43	0	0	1	
WT	stereocilium base	232	5	0	0	1	
MUT	stereocilium base	232	43	0	0	1	
WT	motile cilium	232	5	0	0	1	
MUT	motile cilium	232	43	0	0	1	
WT	axonemal outer doublet	232	5	0	0	1	
MUT	axonemal outer doublet	232	43	0	0	1	
WT	protein-containing complex	232	5	20	0	1	
MUT	protein-containing complex	232	43	20	8	0.0161890329974039	BCR,HSPA1L,PPIA,HSPA5,TUBB,PHB2,CALM3,TJP1
WT	collagen trimer	232	5	0	0	1	
MUT	collagen trimer	232	43	0	0	1	
WT	fibrillar center	232	5	4	0	1	
MUT	fibrillar center	232	43	4	0	1	
WT	ESC/E(Z) complex	232	5	0	0	1	
MUT	ESC/E(Z) complex	232	43	0	0	1	
WT	Barr body	232	5	0	0	1	
MUT	Barr body	232	43	0	0	1	
WT	site of double-strand break	232	5	2	0	1	
MUT	site of double-strand break	232	43	2	0	1	
WT	nuclear chromosome, telomeric region	232	5	2	0	1	
MUT	nuclear chromosome, telomeric region	232	43	2	0	1	
WT	GATOR2 complex	232	5	0	0	1	
MUT	GATOR2 complex	232	43	0	0	1	
WT	integral component of Golgi membrane	232	5	0	0	1	
MUT	integral component of Golgi membrane	232	43	0	0	1	
WT	midbody	232	5	4	0	1	
MUT	midbody	232	43	4	2	0.157284458207577	HSPA5,TRIOBP
WT	spindle midzone	232	5	0	0	1	
MUT	spindle midzone	232	43	0	0	1	
WT	synapse	232	5	13	0	1	
MUT	synapse	232	43	13	1	0.935724145643299	TMOD2
WT	spindle pole	232	5	2	0	1	
MUT	spindle pole	232	43	2	1	0.336990595611285	CALM3
WT	microtubule organizing center	232	5	3	0	1	
MUT	microtubule organizing center	232	43	3	1	0.460944527736132	TRIOBP
WT	adherens junction	232	5	10	0	1	
MUT	adherens junction	232	43	10	3	0.276238948851082	SORBS1,ADD1,TJP1
WT	bicellular tight junction	232	5	2	0	1	
MUT	bicellular tight junction	232	43	2	1	0.336990595611285	TJP1
WT	apical junction complex	232	5	2	0	1	
MUT	apical junction complex	232	43	2	1	0.336990595611285	TJP1
WT	membrane raft	232	5	4	0	1	
MUT	membrane raft	232	43	4	3	0.0208810045156064	TUBA1A,TUBB,SORBS1
WT	postsynaptic density	232	5	27	0	1	
MUT	postsynaptic density	232	43	27	6	0.381866741645367	BCR,PHB2,ADD2,ADD1,PALM,RPL8
WT	postsynaptic density membrane	232	5	0	0	1	
MUT	postsynaptic density membrane	232	43	0	0	1	
WT	asymmetric, glutamatergic, excitatory synapse	232	5	0	0	1	
MUT	asymmetric, glutamatergic, excitatory synapse	232	43	0	0	1	
WT	integral component of postsynaptic specialization membrane	232	5	0	0	1	
MUT	integral component of postsynaptic specialization membrane	232	43	0	0	1	
WT	AMPA glutamate receptor complex	232	5	0	0	1	
MUT	AMPA glutamate receptor complex	232	43	0	0	1	
WT	glutamatergic synapse	232	5	15	2	0.0349271990694442	PSD2,ARPC5L
MUT	glutamatergic synapse	232	43	15	2	0.805699566403605	BCR,PHB2
WT	outer acrosomal membrane	232	5	0	0	1	
MUT	outer acrosomal membrane	232	43	0	0	1	
WT	basement membrane	232	5	4	1	0.0839871846530089	TIMP1
MUT	basement membrane	232	43	4	2	0.157284458207577	LAMC1,DST
WT	melanosome	232	5	5	0	1	
MUT	melanosome	232	43	5	1	0.64473878034552	HSPA5
WT	extracellular matrix	232	5	2	1	0.0427302582474995	TIMP1
MUT	extracellular matrix	232	43	2	0	1	
WT	connexin complex	232	5	0	0	1	
MUT	connexin complex	232	43	0	0	1	
WT	cytoplasmic vesicle membrane	232	5	1	0	1	
MUT	cytoplasmic vesicle membrane	232	43	1	0	1	
WT	longitudinal sarcoplasmic reticulum	232	5	0	0	1	
MUT	longitudinal sarcoplasmic reticulum	232	43	0	0	1	
WT	phosphopyruvate hydratase complex	232	5	0	0	1	
MUT	phosphopyruvate hydratase complex	232	43	0	0	1	
WT	myosin complex	232	5	5	0	1	
MUT	myosin complex	232	43	5	0	1	
WT	myosin filament	232	5	0	0	1	
MUT	myosin filament	232	43	0	0	1	
WT	nuclear envelope	232	5	2	0	1	
MUT	nuclear envelope	232	43	2	2	0.0336990595611285	DST,LMO7
WT	nuclear membrane	232	5	1	0	1	
MUT	nuclear membrane	232	43	1	0	1	
WT	late endosome	232	5	2	0	1	
MUT	late endosome	232	43	2	0	1	
WT	autophagosome	232	5	1	0	1	
MUT	autophagosome	232	43	1	0	1	
WT	recycling endosome	232	5	2	0	1	
MUT	recycling endosome	232	43	2	1	0.336990595611285	TUBA1A
WT	recycling endosome membrane	232	5	0	0	1	
MUT	recycling endosome membrane	232	43	0	0	1	
WT	WASH complex	232	5	2	0	1	
MUT	WASH complex	232	43	2	0	1	
WT	invadopodium	232	5	2	0	1	
MUT	invadopodium	232	43	2	0	1	
WT	exocyst	232	5	0	0	1	
MUT	exocyst	232	43	0	0	1	
WT	zymogen granule membrane	232	5	0	0	1	
MUT	zymogen granule membrane	232	43	0	0	1	
WT	extrinsic component of membrane	232	5	0	0	1	
MUT	extrinsic component of membrane	232	43	0	0	1	
WT	ciliary membrane	232	5	0	0	1	
MUT	ciliary membrane	232	43	0	0	1	
WT	plasma membrane protein complex	232	5	0	0	1	
MUT	plasma membrane protein complex	232	43	0	0	1	
WT	chloride channel complex	232	5	0	0	1	
MUT	chloride channel complex	232	43	0	0	1	
WT	intermediate filament cytoskeleton	232	5	3	0	1	
MUT	intermediate filament cytoskeleton	232	43	3	1	0.460944527736132	NEFM
WT	Fanconi anaemia nuclear complex	232	5	0	0	1	
MUT	Fanconi anaemia nuclear complex	232	43	0	0	1	
WT	FANCM-MHF complex	232	5	0	0	1	
MUT	FANCM-MHF complex	232	43	0	0	1	
WT	apical plasma membrane	232	5	4	0	1	
MUT	apical plasma membrane	232	43	4	1	0.562164550912317	LMO7
WT	mitochondrial membrane	232	5	1	0	1	
MUT	mitochondrial membrane	232	43	1	1	0.185344827586207	CALM3
WT	BBSome	232	5	0	0	1	
MUT	BBSome	232	43	0	0	1	
WT	contractile fiber	232	5	1	0	1	
MUT	contractile fiber	232	43	1	0	1	
WT	spindle	232	5	3	0	1	
MUT	spindle	232	43	3	0	1	
WT	lateral element	232	5	0	0	1	
MUT	lateral element	232	43	0	0	1	
WT	stereocilium	232	5	0	0	1	
MUT	stereocilium	232	43	0	0	1	
WT	kinocilium	232	5	0	0	1	
MUT	kinocilium	232	43	0	0	1	
WT	dendrite	232	5	16	1	0.302694134043456	PSD2
MUT	dendrite	232	43	16	3	0.598634312818776	MAP6,MARK1,TUBB3
WT	peroxisomal matrix	232	5	0	0	1	
MUT	peroxisomal matrix	232	43	0	0	1	
WT	sperm flagellum	232	5	0	0	1	
MUT	sperm flagellum	232	43	0	0	1	
WT	sperm principal piece	232	5	0	0	1	
MUT	sperm principal piece	232	43	0	0	1	
WT	cornified envelope	232	5	1	0	1	
MUT	cornified envelope	232	43	1	0	1	
WT	leading edge membrane	232	5	0	0	1	
MUT	leading edge membrane	232	43	0	0	1	
WT	brush border	232	5	8	0	1	
MUT	brush border	232	43	8	0	1	
WT	filamentous actin	232	5	2	0	1	
MUT	filamentous actin	232	43	2	0	1	
WT	stereocilium tip	232	5	0	0	1	
MUT	stereocilium tip	232	43	0	0	1	
WT	unconventional myosin complex	232	5	3	0	1	
MUT	unconventional myosin complex	232	43	3	0	1	
WT	axon initial segment	232	5	2	0	1	
MUT	axon initial segment	232	43	2	1	0.336990595611285	NAV1
WT	apicolateral plasma membrane	232	5	1	0	1	
MUT	apicolateral plasma membrane	232	43	1	1	0.185344827586207	PALM
WT	ionotropic glutamate receptor complex	232	5	0	0	1	
MUT	ionotropic glutamate receptor complex	232	43	0	0	1	
WT	dendritic spine membrane	232	5	1	0	1	
MUT	dendritic spine membrane	232	43	1	1	0.185344827586207	PALM
WT	integral component of postsynaptic density membrane	232	5	0	0	1	
MUT	integral component of postsynaptic density membrane	232	43	0	0	1	
WT	eukaryotic 43S preinitiation complex	232	5	0	0	1	
MUT	eukaryotic 43S preinitiation complex	232	43	0	0	1	
WT	eukaryotic 48S preinitiation complex	232	5	0	0	1	
MUT	eukaryotic 48S preinitiation complex	232	43	0	0	1	
WT	specific granule membrane	232	5	0	0	1	
MUT	specific granule membrane	232	43	0	0	1	
WT	tertiary granule membrane	232	5	0	0	1	
MUT	tertiary granule membrane	232	43	0	0	1	
WT	Golgi-associated vesicle membrane	232	5	0	0	1	
MUT	Golgi-associated vesicle membrane	232	43	0	0	1	
WT	Golgi cisterna membrane	232	5	0	0	1	
MUT	Golgi cisterna membrane	232	43	0	0	1	
WT	lysosomal membrane	232	5	2	0	1	
MUT	lysosomal membrane	232	43	2	0	1	
WT	tight junction	232	5	2	0	1	
MUT	tight junction	232	43	2	1	0.336990595611285	TJP1
WT	ribonucleoprotein complex	232	5	16	0	1	
MUT	ribonucleoprotein complex	232	43	16	0	1	
WT	cytoplasmic stress granule	232	5	0	0	1	
MUT	cytoplasmic stress granule	232	43	0	0	1	
WT	nuclear body	232	5	4	0	1	
MUT	nuclear body	232	43	4	1	0.562164550912317	ADD1
WT	mitochondrial outer membrane	232	5	2	0	1	
MUT	mitochondrial outer membrane	232	43	2	1	0.336990595611285	PHB2
WT	mitochondrial intermembrane space	232	5	0	0	1	
MUT	mitochondrial intermembrane space	232	43	0	0	1	
WT	nascent polypeptide-associated complex	232	5	0	0	1	
MUT	nascent polypeptide-associated complex	232	43	0	0	1	
WT	anchored component of membrane	232	5	1	0	1	
MUT	anchored component of membrane	232	43	1	0	1	
WT	lysosome	232	5	3	0	1	
MUT	lysosome	232	43	3	1	0.460944527736132	GALC
WT	peroxisomal membrane	232	5	0	0	1	
MUT	peroxisomal membrane	232	43	0	0	1	
WT	integral component of endoplasmic reticulum membrane	232	5	1	0	1	
MUT	integral component of endoplasmic reticulum membrane	232	43	1	1	0.185344827586207	HSPA5
WT	centriolar subdistal appendage	232	5	1	0	1	
MUT	centriolar subdistal appendage	232	43	1	0	1	
WT	spindle microtubule	232	5	1	0	1	
MUT	spindle microtubule	232	43	1	1	0.185344827586207	CALM3
WT	nuclear speck	232	5	12	0	1	
MUT	nuclear speck	232	43	12	1	0.920109107579242	BASP1
WT	filopodium membrane	232	5	2	0	1	
MUT	filopodium membrane	232	43	2	1	0.336990595611285	PALM
WT	postsynapse	232	5	5	1	0.104075184989566	PSD2
MUT	postsynapse	232	43	5	1	0.64473878034552	RPL8
WT	nuclear pore	232	5	0	0	1	
MUT	nuclear pore	232	43	0	0	1	
WT	basal plasma membrane	232	5	1	0	1	
MUT	basal plasma membrane	232	43	1	1	0.185344827586207	DST
WT	lateral plasma membrane	232	5	2	0	1	
MUT	lateral plasma membrane	232	43	2	0	1	
WT	phagocytic vesicle	232	5	0	0	1	
MUT	phagocytic vesicle	232	43	0	0	1	
WT	stereocilium membrane	232	5	1	0	1	
MUT	stereocilium membrane	232	43	1	0	1	
WT	SNARE complex	232	5	0	0	1	
MUT	SNARE complex	232	43	0	0	1	
WT	specific granule	232	5	0	0	1	
MUT	specific granule	232	43	0	0	1	
WT	azurophil granule	232	5	0	0	1	
MUT	azurophil granule	232	43	0	0	1	
WT	mast cell granule	232	5	0	0	1	
MUT	mast cell granule	232	43	0	0	1	
WT	neuron projection	232	5	5	0	1	
MUT	neuron projection	232	43	5	0	1	
WT	presynapse	232	5	6	0	1	
MUT	presynapse	232	43	6	0	1	
WT	actin cytoskeleton	232	5	32	0	1	
MUT	actin cytoskeleton	232	43	32	2	0.992001132870969	LIMA1,TRIOBP
WT	sodium:potassium-exchanging ATPase complex	232	5	0	0	1	
MUT	sodium:potassium-exchanging ATPase complex	232	43	0	0	1	
WT	caveola	232	5	0	0	1	
MUT	caveola	232	43	0	0	1	
WT	intercalated disc	232	5	2	0	1	
MUT	intercalated disc	232	43	2	0	1	
WT	T-tubule	232	5	0	0	1	
MUT	T-tubule	232	43	0	0	1	
WT	aryl hydrocarbon receptor complex	232	5	0	0	1	
MUT	aryl hydrocarbon receptor complex	232	43	0	0	1	
WT	cytoplasmic exosome (RNase complex)	232	5	0	0	1	
MUT	cytoplasmic exosome (RNase complex)	232	43	0	0	1	
WT	voltage-gated potassium channel complex	232	5	2	0	1	
MUT	voltage-gated potassium channel complex	232	43	2	1	0.336990595611285	CALM3
WT	brush border membrane	232	5	2	0	1	
MUT	brush border membrane	232	43	2	1	0.336990595611285	LIMA1
WT	potassium channel complex	232	5	0	0	1	
MUT	potassium channel complex	232	43	0	0	1	
WT	synaptic membrane	232	5	0	0	1	
MUT	synaptic membrane	232	43	0	0	1	
WT	inward rectifier potassium channel complex	232	5	0	0	1	
MUT	inward rectifier potassium channel complex	232	43	0	0	1	
WT	platelet alpha granule	232	5	0	0	1	
MUT	platelet alpha granule	232	43	0	0	1	
WT	tertiary granule	232	5	0	0	1	
MUT	tertiary granule	232	43	0	0	1	
WT	AP-4 adaptor complex	232	5	0	0	1	
