Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
WT	intermediate filament	232	5	7	0	1	
KO	intermediate filament	232	43	7	3	0.12066234856019	KRT14,PRPH,DST
WT	nucleus	232	5	79	1	0.878047315875891	EEF1A1P5
KO	nucleus	232	43	79	20	0.0432682503145713	KRT14,HSPA1L,ATP5PO,MED30,PPIA,TUBB3,TUBA1A,HSPA5,TUBB2A,DST,TUBB2B,TUBB,PHB2,SORBS1,CFL1,ADD1,CALM3,BASP1,TRIOBP,LMO7
WT	host cell nucleus	232	5	1	0	1	
KO	host cell nucleus	232	43	1	0	1	
WT	cell junction	232	5	10	0	1	
KO	cell junction	232	43	10	2	0.583104874492112	TJP1,BASP1
WT	ciliary basal body	232	5	0	0	1	
KO	ciliary basal body	232	43	0	0	1	
WT	late endosome membrane	232	5	0	0	1	
KO	late endosome membrane	232	43	0	0	1	
WT	integral component of lysosomal membrane	232	5	0	0	1	
KO	integral component of lysosomal membrane	232	43	0	0	1	
WT	lysosomal proton-transporting V-type ATPase complex	232	5	0	0	1	
KO	lysosomal proton-transporting V-type ATPase complex	232	43	0	0	1	
WT	axon	232	5	12	0	1	
KO	axon	232	43	12	6	0.0112011831720585	BCR,MAP6,NEFM,TUBB3,PHB2,PALM
WT	nuclear chromatin	232	5	4	0	1	
KO	nuclear chromatin	232	43	4	0	1	
WT	postsynaptic membrane	232	5	3	0	1	
KO	postsynaptic membrane	232	43	3	0	1	
WT	ribosome	232	5	14	0	1	
KO	ribosome	232	43	14	0	1	
WT	nucleosome	232	5	4	0	1	
KO	nucleosome	232	43	4	0	1	
WT	Golgi membrane	232	5	4	0	1	
KO	Golgi membrane	232	43	4	1	0.562164550912317	ATP2C1
WT	mRNA cap binding complex	232	5	0	0	1	
KO	mRNA cap binding complex	232	43	0	0	1	
WT	cilium	232	5	1	0	1	
KO	cilium	232	43	1	0	1	
WT	intraciliary transport particle B	232	5	0	0	1	
KO	intraciliary transport particle B	232	43	0	0	1	
WT	ciliary tip	232	5	1	0	1	
KO	ciliary tip	232	43	1	0	1	
WT	endoplasmic reticulum	232	5	17	0	1	
KO	endoplasmic reticulum	232	43	17	3	0.643553230263104	HSPA5,RCN2,RPL24
WT	endoplasmic reticulum membrane	232	5	4	0	1	
KO	endoplasmic reticulum membrane	232	43	4	2	0.157284458207577	HSPA5,DST
WT	nucleolus	232	5	36	0	1	
KO	nucleolus	232	43	36	1	0.999689742426704	RCN2
WT	intrinsic component of endoplasmic reticulum membrane	232	5	0	0	1	
KO	intrinsic component of endoplasmic reticulum membrane	232	43	0	0	1	
WT	extrinsic component of cytoplasmic side of plasma membrane	232	5	1	0	1	
KO	extrinsic component of cytoplasmic side of plasma membrane	232	43	1	0	1	
WT	organelle membrane contact site	232	5	0	0	1	
KO	organelle membrane contact site	232	43	0	0	1	
WT	endoplasmic reticulum-plasma membrane contact site	232	5	0	0	1	
KO	endoplasmic reticulum-plasma membrane contact site	232	43	0	0	1	
WT	early endosome	232	5	2	0	1	
KO	early endosome	232	43	2	0	1	
WT	microtubule	232	5	17	0	1	
KO	microtubule	232	43	17	8	0.00493022475587911	MAP6,TUBB3,TUBA1A,TUBB2A,TUBB2B,TUBB,NAV1,KIF5C
WT	microtubule associated complex	232	5	3	0	1	
KO	microtubule associated complex	232	43	3	0	1	
WT	microtubule cytoskeleton	232	5	9	0	1	
KO	microtubule cytoskeleton	232	43	9	5	0.0124127734645301	MARK1,TUBA1A,DST,TUBB2B,NAV1
WT	lamellipodium	232	5	15	0	1	
KO	lamellipodium	232	43	15	2	0.805699566403605	TUBB3,CFL1
WT	filopodium	232	5	8	0	1	
KO	filopodium	232	43	8	1	0.811387145101258	TUBB3
WT	growth cone	232	5	12	0	1	
KO	growth cone	232	43	12	4	0.162721114822691	TMOD2,TUBB3,CALM3,BASP1
WT	cell leading edge	232	5	2	0	1	
KO	cell leading edge	232	43	2	1	0.336990595611285	DST
WT	perikaryon	232	5	4	0	1	
KO	perikaryon	232	43	4	0	1	
WT	axonal growth cone	232	5	1	0	1	
KO	axonal growth cone	232	43	1	1	0.185344827586207	KIF5C
WT	perinuclear region of cytoplasm	232	5	10	0	1	
KO	perinuclear region of cytoplasm	232	43	10	1	0.876981766243574	MAP6
WT	extracellular exosome	232	5	88	4	0.069916104101149	TIMP1,ARPC5L,RPLP2,EEF1A1P5
KO	extracellular exosome	232	43	88	13	0.909110210552611	KRT14,LAMC1,BCR,PRPH,PPIA,TUBB3,TUBA1A,HSPA5,TUBB2A,TUBB,CFL1,BASP1,RPL24
WT	cellular_component	232	5	2	0	1	
KO	cellular_component	232	43	2	0	1	
WT	nuclear inner membrane	232	5	0	0	1	
KO	nuclear inner membrane	232	43	0	0	1	
WT	autophagosome membrane	232	5	0	0	1	
KO	autophagosome membrane	232	43	0	0	1	
WT	phagocytic cup	232	5	0	0	1	
KO	phagocytic cup	232	43	0	0	1	
WT	phagocytic vesicle membrane	232	5	0	0	1	
KO	phagocytic vesicle membrane	232	43	0	0	1	
WT	cell projection	232	5	3	0	1	
KO	cell projection	232	43	3	1	0.460944527736132	TJP1
WT	cell periphery	232	5	5	0	1	
KO	cell periphery	232	43	5	2	0.231867633179503	KRT14,PHB2
WT	mitotic spindle	232	5	3	0	1	
KO	mitotic spindle	232	43	3	0	1	
WT	supramolecular fiber	232	5	0	0	1	
KO	supramolecular fiber	232	43	0	0	1	
WT	central element	232	5	0	0	1	
KO	central element	232	43	0	0	1	
WT	chromosome	232	5	2	0	1	
KO	chromosome	232	43	2	0	1	
WT	collagen-containing extracellular matrix	232	5	5	0	1	
KO	collagen-containing extracellular matrix	232	43	5	1	0.64473878034552	LAMC1
WT	sarcoplasmic reticulum	232	5	0	0	1	
KO	sarcoplasmic reticulum	232	43	0	0	1	
WT	podosome	232	5	5	0	1	
KO	podosome	232	43	5	1	0.64473878034552	TJP1
WT	mitochondrial inner membrane	232	5	4	0	1	
KO	mitochondrial inner membrane	232	43	4	2	0.157284458207577	ATP5PO,PHB2
WT	centriole	232	5	1	0	1	
KO	centriole	232	43	1	0	1	
WT	ciliary transition zone	232	5	0	0	1	
KO	ciliary transition zone	232	43	0	0	1	
WT	ciliary base	232	5	0	0	1	
KO	ciliary base	232	43	0	0	1	
WT	cytoplasmic ribonucleoprotein granule	232	5	6	0	1	
KO	cytoplasmic ribonucleoprotein granule	232	43	6	2	0.308257889483348	TUBA1A,TUBB
WT	intracellular membrane-bounded organelle	232	5	7	0	1	
KO	intracellular membrane-bounded organelle	232	43	7	1	0.766824767295512	HSPA5
WT	sarcolemma	232	5	1	0	1	
KO	sarcolemma	232	43	1	0	1	
WT	deuterosome	232	5	0	0	1	
KO	deuterosome	232	43	0	0	1	
WT	Dsl1/NZR complex	232	5	0	0	1	
KO	Dsl1/NZR complex	232	43	0	0	1	
WT	COP9 signalosome	232	5	5	0	1	
KO	COP9 signalosome	232	43	5	3	0.0454096957496889	HSPA1L,HSPA5,BASP1
WT	mitochondrial matrix	232	5	4	0	1	
KO	mitochondrial matrix	232	43	4	1	0.562164550912317	HSPA1L
WT	cytoskeleton	232	5	29	0	1	
KO	cytoskeleton	232	43	29	7	0.273869435858418	TMOD2,CASS4,MARK1,TUBB,ADD2,ADD1,BASP1
WT	postsynaptic Golgi apparatus	232	5	1	0	1	
KO	postsynaptic Golgi apparatus	232	43	1	0	1	
WT	photoreceptor outer segment	232	5	2	0	1	
KO	photoreceptor outer segment	232	43	2	0	1	
WT	photoreceptor inner segment	232	5	1	0	1	
KO	photoreceptor inner segment	232	43	1	0	1	
WT	centriolar satellite	232	5	2	0	1	
KO	centriolar satellite	232	43	2	0	1	
WT	Flemming body	232	5	0	0	1	
KO	Flemming body	232	43	0	0	1	
WT	myofilament	232	5	0	0	1	
KO	myofilament	232	43	0	0	1	
WT	peroxisome	232	5	1	0	1	
KO	peroxisome	232	43	1	0	1	
WT	trans-Golgi network	232	5	2	0	1	
KO	trans-Golgi network	232	43	2	1	0.336990595611285	ATP2C1
WT	extrinsic component of endosome membrane	232	5	0	0	1	
KO	extrinsic component of endosome membrane	232	43	0	0	1	
WT	early endosome membrane	232	5	0	0	1	
KO	early endosome membrane	232	43	0	0	1	
WT	acrosomal vesicle	232	5	1	0	1	
KO	acrosomal vesicle	232	43	1	0	1	
WT	Z disc	232	5	6	0	1	
KO	Z disc	232	43	6	1	0.712034958517955	DST
WT	stress fiber	232	5	13	0	1	
KO	stress fiber	232	43	13	2	0.732728650810554	SORBS1,LIMA1
WT	focal adhesion	232	5	57	2	0.358009562110568	ARPC5L,RPLP2
KO	focal adhesion	232	43	57	11	0.501615083995099	CASS4,PPIA,HSPA5,DST,SORBS1,LIMA1,CFL1,ADD1,TRIOBP,LMO7,RPL8
WT	cell cortex	232	5	7	0	1	
KO	cell cortex	232	43	7	1	0.766824767295512	DST
WT	blood microparticle	232	5	4	0	1	
KO	blood microparticle	232	43	4	1	0.562164550912317	HSPA1L
WT	endosome	232	5	0	0	1	
KO	endosome	232	43	0	0	1	
WT	ESCRT I complex	232	5	0	0	1	
KO	ESCRT I complex	232	43	0	0	1	
WT	endosome membrane	232	5	4	0	1	
KO	endosome membrane	232	43	4	1	0.562164550912317	WDR83
WT	host cell	232	5	1	0	1	
KO	host cell	232	43	1	0	1	
WT	axoneme	232	5	2	0	1	
KO	axoneme	232	43	2	0	1	
WT	sperm midpiece	232	5	0	0	1	
KO	sperm midpiece	232	43	0	0	1	
WT	non-motile cilium	232	5	0	0	1	
KO	non-motile cilium	232	43	0	0	1	
WT	proteasome core complex, beta-subunit complex	232	5	0	0	1	
KO	proteasome core complex, beta-subunit complex	232	43	0	0	1	
WT	cleavage furrow	232	5	5	1	0.104075184989566	PSD2
KO	cleavage furrow	232	43	5	1	0.64473878034552	LIMA1
WT	ruffle membrane	232	5	8	1	0.162234097844206	PSD2
KO	ruffle membrane	232	43	8	1	0.811387145101258	CFL1
WT	dendritic spine	232	5	6	0	1	
KO	dendritic spine	232	43	6	1	0.712034958517955	BCR
WT	extrinsic component of postsynaptic endosome membrane	232	5	0	0	1	
KO	extrinsic component of postsynaptic endosome membrane	232	43	0	0	1	
WT	postsynaptic density, intracellular component	232	5	2	0	1	
KO	postsynaptic density, intracellular component	232	43	2	1	0.336990595611285	BCR
WT	CCR4-NOT complex	232	5	0	0	1	
KO	CCR4-NOT complex	232	43	0	0	1	
WT	basolateral plasma membrane	232	5	4	0	1	
KO	basolateral plasma membrane	232	43	4	2	0.157284458207577	PALM,TJP1
WT	endomembrane system	232	5	0	0	1	
KO	endomembrane system	232	43	0	0	1	
WT	cytoplasmic vesicle	232	5	3	0	1	
KO	cytoplasmic vesicle	232	43	3	3	0.00600722366089682	DST,ADD2,PALM
WT	cell surface	232	5	6	0	1	
KO	cell surface	232	43	6	3	0.079087120571814	HSPA5,PHB2,LMO7
WT	integral component of organelle membrane	232	5	0	0	1	
KO	integral component of organelle membrane	232	43	0	0	1	
WT	transcription factor complex	232	5	2	0	1	
KO	transcription factor complex	232	43	2	0	1	
WT	microvillus	232	5	2	0	1	
KO	microvillus	232	43	2	0	1	
WT	stereocilium shaft	232	5	0	0	1	
KO	stereocilium shaft	232	43	0	0	1	
WT	stereocilium base	232	5	0	0	1	
KO	stereocilium base	232	43	0	0	1	
WT	motile cilium	232	5	0	0	1	
KO	motile cilium	232	43	0	0	1	
WT	axonemal outer doublet	232	5	0	0	1	
KO	axonemal outer doublet	232	43	0	0	1	
WT	protein-containing complex	232	5	20	0	1	
KO	protein-containing complex	232	43	20	8	0.0161890329974039	BCR,HSPA1L,PPIA,HSPA5,TUBB,PHB2,CALM3,TJP1
WT	collagen trimer	232	5	0	0	1	
KO	collagen trimer	232	43	0	0	1	
WT	fibrillar center	232	5	4	0	1	
KO	fibrillar center	232	43	4	0	1	
WT	ESC/E(Z) complex	232	5	0	0	1	
KO	ESC/E(Z) complex	232	43	0	0	1	
WT	Barr body	232	5	0	0	1	
KO	Barr body	232	43	0	0	1	
WT	site of double-strand break	232	5	2	0	1	
KO	site of double-strand break	232	43	2	0	1	
WT	nuclear chromosome, telomeric region	232	5	2	0	1	
KO	nuclear chromosome, telomeric region	232	43	2	0	1	
WT	GATOR2 complex	232	5	0	0	1	
KO	GATOR2 complex	232	43	0	0	1	
WT	integral component of Golgi membrane	232	5	0	0	1	
KO	integral component of Golgi membrane	232	43	0	0	1	
WT	midbody	232	5	4	0	1	
KO	midbody	232	43	4	2	0.157284458207577	HSPA5,TRIOBP
WT	spindle midzone	232	5	0	0	1	
KO	spindle midzone	232	43	0	0	1	
WT	synapse	232	5	13	0	1	
KO	synapse	232	43	13	1	0.935724145643299	TMOD2
WT	spindle pole	232	5	2	0	1	
KO	spindle pole	232	43	2	1	0.336990595611285	CALM3
WT	microtubule organizing center	232	5	3	0	1	
KO	microtubule organizing center	232	43	3	1	0.460944527736132	TRIOBP
WT	adherens junction	232	5	10	0	1	
KO	adherens junction	232	43	10	3	0.276238948851082	SORBS1,ADD1,TJP1
WT	bicellular tight junction	232	5	2	0	1	
KO	bicellular tight junction	232	43	2	1	0.336990595611285	TJP1
WT	apical junction complex	232	5	2	0	1	
KO	apical junction complex	232	43	2	1	0.336990595611285	TJP1
WT	membrane raft	232	5	4	0	1	
KO	membrane raft	232	43	4	3	0.0208810045156064	TUBA1A,TUBB,SORBS1
WT	postsynaptic density	232	5	27	0	1	
KO	postsynaptic density	232	43	27	6	0.381866741645367	BCR,PHB2,ADD2,ADD1,PALM,RPL8
WT	postsynaptic density membrane	232	5	0	0	1	
KO	postsynaptic density membrane	232	43	0	0	1	
WT	asymmetric, glutamatergic, excitatory synapse	232	5	0	0	1	
KO	asymmetric, glutamatergic, excitatory synapse	232	43	0	0	1	
WT	integral component of postsynaptic specialization membrane	232	5	0	0	1	
KO	integral component of postsynaptic specialization membrane	232	43	0	0	1	
WT	AMPA glutamate receptor complex	232	5	0	0	1	
KO	AMPA glutamate receptor complex	232	43	0	0	1	
WT	glutamatergic synapse	232	5	15	2	0.0349271990694442	PSD2,ARPC5L
KO	glutamatergic synapse	232	43	15	2	0.805699566403605	BCR,PHB2
WT	outer acrosomal membrane	232	5	0	0	1	
KO	outer acrosomal membrane	232	43	0	0	1	
WT	basement membrane	232	5	4	1	0.0839871846530089	TIMP1
KO	basement membrane	232	43	4	2	0.157284458207577	LAMC1,DST
WT	melanosome	232	5	5	0	1	
KO	melanosome	232	43	5	1	0.64473878034552	HSPA5
WT	extracellular matrix	232	5	2	1	0.0427302582474995	TIMP1
KO	extracellular matrix	232	43	2	0	1	
WT	connexin complex	232	5	0	0	1	
KO	connexin complex	232	43	0	0	1	
WT	cytoplasmic vesicle membrane	232	5	1	0	1	
KO	cytoplasmic vesicle membrane	232	43	1	0	1	
WT	longitudinal sarcoplasmic reticulum	232	5	0	0	1	
KO	longitudinal sarcoplasmic reticulum	232	43	0	0	1	
WT	phosphopyruvate hydratase complex	232	5	0	0	1	
KO	phosphopyruvate hydratase complex	232	43	0	0	1	
WT	myosin complex	232	5	5	0	1	
KO	myosin complex	232	43	5	0	1	
WT	myosin filament	232	5	0	0	1	
KO	myosin filament	232	43	0	0	1	
WT	nuclear envelope	232	5	2	0	1	
KO	nuclear envelope	232	43	2	2	0.0336990595611285	DST,LMO7
WT	nuclear membrane	232	5	1	0	1	
KO	nuclear membrane	232	43	1	0	1	
WT	late endosome	232	5	2	0	1	
KO	late endosome	232	43	2	0	1	
WT	autophagosome	232	5	1	0	1	
KO	autophagosome	232	43	1	0	1	
WT	recycling endosome	232	5	2	0	1	
KO	recycling endosome	232	43	2	1	0.336990595611285	TUBA1A
WT	recycling endosome membrane	232	5	0	0	1	
KO	recycling endosome membrane	232	43	0	0	1	
WT	WASH complex	232	5	2	0	1	
KO	WASH complex	232	43	2	0	1	
WT	invadopodium	232	5	2	0	1	
KO	invadopodium	232	43	2	0	1	
WT	exocyst	232	5	0	0	1	
KO	exocyst	232	43	0	0	1	
WT	zymogen granule membrane	232	5	0	0	1	
KO	zymogen granule membrane	232	43	0	0	1	
WT	extrinsic component of membrane	232	5	0	0	1	
KO	extrinsic component of membrane	232	43	0	0	1	
WT	ciliary membrane	232	5	0	0	1	
KO	ciliary membrane	232	43	0	0	1	
WT	plasma membrane protein complex	232	5	0	0	1	
KO	plasma membrane protein complex	232	43	0	0	1	
WT	chloride channel complex	232	5	0	0	1	
KO	chloride channel complex	232	43	0	0	1	
WT	intermediate filament cytoskeleton	232	5	3	0	1	
KO	intermediate filament cytoskeleton	232	43	3	1	0.460944527736132	NEFM
WT	Fanconi anaemia nuclear complex	232	5	0	0	1	
KO	Fanconi anaemia nuclear complex	232	43	0	0	1	
WT	FANCM-MHF complex	232	5	0	0	1	
KO	FANCM-MHF complex	232	43	0	0	1	
WT	apical plasma membrane	232	5	4	0	1	
KO	apical plasma membrane	232	43	4	1	0.562164550912317	LMO7
WT	mitochondrial membrane	232	5	1	0	1	
KO	mitochondrial membrane	232	43	1	1	0.185344827586207	CALM3
WT	BBSome	232	5	0	0	1	
KO	BBSome	232	43	0	0	1	
WT	contractile fiber	232	5	1	0	1	
KO	contractile fiber	232	43	1	0	1	
WT	spindle	232	5	3	0	1	
KO	spindle	232	43	3	0	1	
WT	lateral element	232	5	0	0	1	
KO	lateral element	232	43	0	0	1	
WT	stereocilium	232	5	0	0	1	
KO	stereocilium	232	43	0	0	1	
WT	kinocilium	232	5	0	0	1	
KO	kinocilium	232	43	0	0	1	
WT	dendrite	232	5	16	1	0.302694134043456	PSD2
KO	dendrite	232	43	16	3	0.598634312818776	MAP6,MARK1,TUBB3
WT	peroxisomal matrix	232	5	0	0	1	
KO	peroxisomal matrix	232	43	0	0	1	
WT	sperm flagellum	232	5	0	0	1	
KO	sperm flagellum	232	43	0	0	1	
WT	sperm principal piece	232	5	0	0	1	
KO	sperm principal piece	232	43	0	0	1	
WT	cornified envelope	232	5	1	0	1	
KO	cornified envelope	232	43	1	0	1	
WT	leading edge membrane	232	5	0	0	1	
KO	leading edge membrane	232	43	0	0	1	
WT	brush border	232	5	8	0	1	
KO	brush border	232	43	8	0	1	
WT	filamentous actin	232	5	2	0	1	
KO	filamentous actin	232	43	2	0	1	
WT	stereocilium tip	232	5	0	0	1	
KO	stereocilium tip	232	43	0	0	1	
WT	unconventional myosin complex	232	5	3	0	1	
KO	unconventional myosin complex	232	43	3	0	1	
WT	axon initial segment	232	5	2	0	1	
KO	axon initial segment	232	43	2	1	0.336990595611285	NAV1
WT	apicolateral plasma membrane	232	5	1	0	1	
KO	apicolateral plasma membrane	232	43	1	1	0.185344827586207	PALM
WT	ionotropic glutamate receptor complex	232	5	0	0	1	
KO	ionotropic glutamate receptor complex	232	43	0	0	1	
WT	dendritic spine membrane	232	5	1	0	1	
KO	dendritic spine membrane	232	43	1	1	0.185344827586207	PALM
WT	integral component of postsynaptic density membrane	232	5	0	0	1	
KO	integral component of postsynaptic density membrane	232	43	0	0	1	
WT	eukaryotic 43S preinitiation complex	232	5	0	0	1	
KO	eukaryotic 43S preinitiation complex	232	43	0	0	1	
WT	eukaryotic 48S preinitiation complex	232	5	0	0	1	
KO	eukaryotic 48S preinitiation complex	232	43	0	0	1	
WT	specific granule membrane	232	5	0	0	1	
KO	specific granule membrane	232	43	0	0	1	
WT	tertiary granule membrane	232	5	0	0	1	
KO	tertiary granule membrane	232	43	0	0	1	
WT	Golgi-associated vesicle membrane	232	5	0	0	1	
KO	Golgi-associated vesicle membrane	232	43	0	0	1	
WT	Golgi cisterna membrane	232	5	0	0	1	
KO	Golgi cisterna membrane	232	43	0	0	1	
WT	lysosomal membrane	232	5	2	0	1	
KO	lysosomal membrane	232	43	2	0	1	
WT	tight junction	232	5	2	0	1	
KO	tight junction	232	43	2	1	0.336990595611285	TJP1
WT	ribonucleoprotein complex	232	5	16	0	1	
KO	ribonucleoprotein complex	232	43	16	0	1	
WT	cytoplasmic stress granule	232	5	0	0	1	
KO	cytoplasmic stress granule	232	43	0	0	1	
WT	nuclear body	232	5	4	0	1	
KO	nuclear body	232	43	4	1	0.562164550912317	ADD1
WT	mitochondrial outer membrane	232	5	2	0	1	
KO	mitochondrial outer membrane	232	43	2	1	0.336990595611285	PHB2
WT	mitochondrial intermembrane space	232	5	0	0	1	
KO	mitochondrial intermembrane space	232	43	0	0	1	
WT	nascent polypeptide-associated complex	232	5	0	0	1	
KO	nascent polypeptide-associated complex	232	43	0	0	1	
WT	anchored component of membrane	232	5	1	0	1	
KO	anchored component of membrane	232	43	1	0	1	
WT	lysosome	232	5	3	0	1	
KO	lysosome	232	43	3	1	0.460944527736132	GALC
WT	peroxisomal membrane	232	5	0	0	1	
KO	peroxisomal membrane	232	43	0	0	1	
WT	integral component of endoplasmic reticulum membrane	232	5	1	0	1	
KO	integral component of endoplasmic reticulum membrane	232	43	1	1	0.185344827586207	HSPA5
WT	centriolar subdistal appendage	232	5	1	0	1	
KO	centriolar subdistal appendage	232	43	1	0	1	
WT	spindle microtubule	232	5	1	0	1	
KO	spindle microtubule	232	43	1	1	0.185344827586207	CALM3
WT	nuclear speck	232	5	12	0	1	
KO	nuclear speck	232	43	12	1	0.920109107579242	BASP1
WT	filopodium membrane	232	5	2	0	1	
KO	filopodium membrane	232	43	2	1	0.336990595611285	PALM
WT	postsynapse	232	5	5	1	0.104075184989566	PSD2
KO	postsynapse	232	43	5	1	0.64473878034552	RPL8
WT	nuclear pore	232	5	0	0	1	
KO	nuclear pore	232	43	0	0	1	
WT	basal plasma membrane	232	5	1	0	1	
KO	basal plasma membrane	232	43	1	1	0.185344827586207	DST
WT	lateral plasma membrane	232	5	2	0	1	
KO	lateral plasma membrane	232	43	2	0	1	
WT	phagocytic vesicle	232	5	0	0	1	
KO	phagocytic vesicle	232	43	0	0	1	
WT	stereocilium membrane	232	5	1	0	1	
KO	stereocilium membrane	232	43	1	0	1	
WT	SNARE complex	232	5	0	0	1	
KO	SNARE complex	232	43	0	0	1	
WT	specific granule	232	5	0	0	1	
KO	specific granule	232	43	0	0	1	
WT	azurophil granule	232	5	0	0	1	
KO	azurophil granule	232	43	0	0	1	
WT	mast cell granule	232	5	0	0	1	
KO	mast cell granule	232	43	0	0	1	
WT	neuron projection	232	5	5	0	1	
KO	neuron projection	232	43	5	0	1	
WT	presynapse	232	5	6	0	1	
KO	presynapse	232	43	6	0	1	
WT	actin cytoskeleton	232	5	32	0	1	
KO	actin cytoskeleton	232	43	32	2	0.992001132870969	LIMA1,TRIOBP
WT	sodium:potassium-exchanging ATPase complex	232	5	0	0	1	
KO	sodium:potassium-exchanging ATPase complex	232	43	0	0	1	
WT	caveola	232	5	0	0	1	
KO	caveola	232	43	0	0	1	
WT	intercalated disc	232	5	2	0	1	
KO	intercalated disc	232	43	2	0	1	
WT	T-tubule	232	5	0	0	1	
KO	T-tubule	232	43	0	0	1	
WT	aryl hydrocarbon receptor complex	232	5	0	0	1	
KO	aryl hydrocarbon receptor complex	232	43	0	0	1	
WT	cytoplasmic exosome (RNase complex)	232	5	0	0	1	
KO	cytoplasmic exosome (RNase complex)	232	43	0	0	1	
WT	voltage-gated potassium channel complex	232	5	2	0	1	
KO	voltage-gated potassium channel complex	232	43	2	1	0.336990595611285	CALM3
WT	brush border membrane	232	5	2	0	1	
KO	brush border membrane	232	43	2	1	0.336990595611285	LIMA1
WT	potassium channel complex	232	5	0	0	1	
KO	potassium channel complex	232	43	0	0	1	
WT	synaptic membrane	232	5	0	0	1	
KO	synaptic membrane	232	43	0	0	1	
WT	inward rectifier potassium channel complex	232	5	0	0	1	
KO	inward rectifier potassium channel complex	232	43	0	0	1	
WT	platelet alpha granule	232	5	0	0	1	
KO	platelet alpha granule	232	43	0	0	1	
WT	tertiary granule	232	5	0	0	1	
KO	tertiary granule	232	43	0	0	1	
WT	AP-4 adaptor complex	232	5	0	0	1	
KO	AP-4 adaptor complex	232	43	0	0	1	
WT	clathrin adaptor complex	232	5	0	0	1	
KO	clathrin adaptor complex	232	43	0	0	1	
WT	endosome lumen	232	5	0	0	1	
KO	endosome lumen	232	43	0	0	1	
WT	trans-Golgi network membrane	232	5	1	0	1	
KO	trans-Golgi network membrane	232	43	1	0	1	
WT	intracellular	232	5	0	0	1	
KO	intracellular	232	43	0	0	1	
WT	Golgi stack	232	5	1	0	1	
KO	Golgi stack	232	43	1	0	1	
