Test	Dataset	DegType	CellType	PopCount	IntCount	DegCount	OverlapCount	P	OverlapGenes
Conditional	ADNP	Up	L5/6	1210	12	1	0	1.0	
Global	ADNP	Up	L5/6-CC	36254	12	14	1	0.004624842148414714	MAPRE2
Conditional	ADNP	Up	L5/6-CC	1210	12	4	1	0.03913100965424054	MAPRE2
Global	ADNP	Up	Neu-mat	36254	12	1	0	1.0	
Conditional	ADNP	Up	Neu-mat	1210	12	0	0	1.0	
Global	ADNP	Up	Neu-NRGN-I	36254	12	7	0	1.0	
Conditional	ADNP	Up	Neu-NRGN-I	1210	12	1	0	1.0	
Global	ADNP	Up	Neu-NRGN-II	36254	12	17	0	1.0	
Conditional	ADNP	Up	Neu-NRGN-II	1210	12	0	0	1.0	
Global	ADNP	Up	IN-PV	36254	12	19	1	0.006271814087927136	RAB3GAP1
Conditional	ADNP	Up	IN-PV	1210	12	3	1	0.029482116027337527	RAB3GAP1
Global	ADNP	Up	IN-SST	36254	12	21	0	1.0	
Conditional	ADNP	Up	IN-SST	1210	12	3	0	1.0	
Global	ADNP	Up	IN-VIP	36254	12	58	0	1.0	
Conditional	ADNP	Up	IN-VIP	1210	12	6	0	1.0	
Global	ADNP	Up	IN-SV2C	36254	12	11	0	1.0	
Conditional	ADNP	Up	IN-SV2C	1210	12	2	0	1.0	
Global	ADNP	Up	Microglia	36254	12	58	0	1.0	
Conditional	ADNP	Up	Microglia	1210	12	8	0	1.0	
Global	ADNP	Up	AST-PP	36254	12	45	0	1.0	
Conditional	ADNP	Up	AST-PP	1210	12	7	0	1.0	
Global	ADNP	Up	AST-FB	36254	12	13	0	1.0	
Conditional	ADNP	Up	AST-FB	1210	12	1	0	1.0	
Global	ADNP	Up	Oligodendrocytes	36254	12	6	0	1.0	
Conditional	ADNP	Up	Oligodendrocytes	1210	12	1	0	1.0	
Global	ADNP	Up	OPC	36254	12	1	0	1.0	
Conditional	ADNP	Up	OPC	1210	12	0	0	1.0	
Global	ADNP	Up	Endothelial	36254	12	33	0	1.0	
Conditional	ADNP	Up	Endothelial	1210	12	1	0	1.0	
Global	ADNP	Down	L2/3	36254	12	46	0	1.0	
Conditional	ADNP	Down	L2/3	1210	12	7	0	1.0	
Global	ADNP	Down	L4	36254	12	40	0	1.0	
Conditional	ADNP	Down	L4	1210	12	2	0	1.0	
Global	ADNP	Down	L5/6	36254	12	3	0	1.0	
Conditional	ADNP	Down	L5/6	1210	12	1	0	1.0	
Global	ADNP	Down	L5/6-CC	36254	12	5	0	1.0	
Conditional	ADNP	Down	L5/6-CC	1210	12	2	0	1.0	
Global	ADNP	Down	Neu-mat	36254	12	2	0	1.0	
Conditional	ADNP	Down	Neu-mat	1210	12	0	0	1.0	
Global	ADNP	Down	Neu-NRGN-I	36254	12	6	0	1.0	
Conditional	ADNP	Down	Neu-NRGN-I	1210	12	1	0	1.0	
Global	ADNP	Down	Neu-NRGN-II	36254	12	9	0	1.0	
Conditional	ADNP	Down	Neu-NRGN-II	1210	12	1	0	1.0	
Global	ADNP	Down	IN-PV	36254	12	8	0	1.0	
Conditional	ADNP	Down	IN-PV	1210	12	1	0	1.0	
Global	ADNP	Down	IN-SST	36254	12	8	0	1.0	
Conditional	ADNP	Down	IN-SST	1210	12	1	0	1.0	
Global	ADNP	Down	IN-VIP	36254	12	21	0	1.0	
Conditional	ADNP	Down	IN-VIP	1210	12	2	0	1.0	
Global	ADNP	Down	IN-SV2C	36254	12	21	0	1.0	
Conditional	ADNP	Down	IN-SV2C	1210	12	3	0	1.0	
Global	ADNP	Down	Microglia	36254	12	20	0	1.0	
Conditional	ADNP	Down	Microglia	1210	12	4	0	1.0	
Global	ADNP	Down	AST-PP	36254	12	14	0	1.0	
Conditional	ADNP	Down	AST-PP	1210	12	1	0	1.0	
Global	ADNP	Down	AST-FB	36254	12	2	0	1.0	
Conditional	ADNP	Down	AST-FB	1210	12	0	0	1.0	
Global	ADNP	Down	Oligodendrocytes	36254	12	10	0	1.0	
Conditional	ADNP	Down	Oligodendrocytes	1210	12	2	0	1.0	
Global	ADNP	Down	OPC	36254	12	2	0	1.0	
Conditional	ADNP	Down	OPC	1210	12	0	0	1.0	
Global	ADNP	Down	Endothelial	36254	12	26	0	1.0	
Conditional	ADNP	Down	Endothelial	1210	12	4	0	1.0	
Global	ANK2	All	L2/3	36254	102	107	1	0.26059475165461454	RPL34
Conditional	ANK2	All	L2/3	1584	102	20	1	0.7380343068291275	RPL34
Global	ANK2	All	L4	36254	102	105	0	1.0	
Conditional	ANK2	All	L4	1584	102	8	0	1.0	
Global	ANK2	All	L5/6	36254	102	8	0	1.0	
Conditional	ANK2	All	L5/6	1584	102	2	0	1.0	
Global	ANK2	All	L5/6-CC	36254	102	19	0	1.0	
Conditional	ANK2	All	L5/6-CC	1584	102	6	0	1.0	
Global	ANK2	All	Neu-mat	36254	102	3	0	1.0	
Conditional	ANK2	All	Neu-mat	1584	102	0	0	1.0	
Global	ANK2	All	Neu-NRGN-I	36254	102	13	1	0.035970029148058844	GABARAPL2
Conditional	ANK2	All	Neu-NRGN-I	1584	102	3	1	0.18111596102025382	GABARAPL2
Global	ANK2	All	Neu-NRGN-II	36254	102	26	0	1.0	
Conditional	ANK2	All	Neu-NRGN-II	1584	102	1	0	1.0	
Global	ANK2	All	IN-PV	36254	102	27	0	1.0	
Conditional	ANK2	All	IN-PV	1584	102	4	0	1.0	
Global	ANK2	All	IN-SST	36254	102	29	0	1.0	
Conditional	ANK2	All	IN-SST	1584	102	5	0	1.0	
Global	ANK2	All	IN-VIP	36254	102	79	1	0.19973992358005643	GNAQ
Conditional	ANK2	All	IN-VIP	1584	102	9	1	0.45152684143746225	GNAQ
Global	ANK2	All	IN-SV2C	36254	102	32	0	1.0	
Conditional	ANK2	All	IN-SV2C	1584	102	5	0	1.0	
Global	ANK2	All	Microglia	36254	102	78	1	0.19747717124333614	PLEKHA5
Conditional	ANK2	All	Microglia	1584	102	13	1	0.580502484952831	PLEKHA5
Global	ANK2	All	AST-PP	36254	102	59	0	1.0	
Conditional	ANK2	All	AST-PP	1584	102	8	0	1.0	
Global	ANK2	All	AST-FB	36254	102	15	0	1.0	
Conditional	ANK2	All	AST-FB	1584	102	2	0	1.0	
Global	ANK2	All	Oligodendrocytes	36254	102	16	0	1.0	
Conditional	ANK2	All	Oligodendrocytes	1584	102	3	0	1.0	
Global	ANK2	All	OPC	36254	102	3	0	1.0	
Conditional	ANK2	All	OPC	1584	102	0	0	1.0	
Global	ANK2	All	Endothelial	36254	102	59	0	1.0	
Conditional	ANK2	All	Endothelial	1584	102	7	0	1.0	
Global	ANK2	Up	L2/3	36254	102	61	1	0.15802663653946117	RPL34
Conditional	ANK2	Up	L2/3	1584	102	12	1	0.5513944941128236	RPL34
Global	ANK2	Up	L4	36254	102	65	0	1.0	
Conditional	ANK2	Up	L4	1584	102	6	0	1.0	
Global	ANK2	Up	L5/6	36254	102	5	0	1.0	
Conditional	ANK2	Up	L5/6	1584	102	1	0	1.0	
Global	ANK2	Up	L5/6-CC	36254	102	14	0	1.0	
Conditional	ANK2	Up	L5/6-CC	1584	102	4	0	1.0	
Global	ANK2	Up	Neu-mat	36254	102	1	0	1.0	
Conditional	ANK2	Up	Neu-mat	1584	102	0	0	1.0	
Global	ANK2	Up	Neu-NRGN-I	36254	102	7	0	1.0	
Conditional	ANK2	Up	Neu-NRGN-I	1584	102	1	0	1.0	
Global	ANK2	Up	Neu-NRGN-II	36254	102	17	0	1.0	
Conditional	ANK2	Up	Neu-NRGN-II	1584	102	0	0	1.0	
Global	ANK2	Up	IN-PV	36254	102	19	0	1.0	
Conditional	ANK2	Up	IN-PV	1584	102	3	0	1.0	
Global	ANK2	Up	IN-SST	36254	102	21	0	1.0	
Conditional	ANK2	Up	IN-SST	1584	102	4	0	1.0	
Global	ANK2	Up	IN-VIP	36254	102	58	1	0.15086811147381773	GNAQ
Conditional	ANK2	Up	IN-VIP	1584	102	7	1	0.3730198645080973	GNAQ
Global	ANK2	Up	IN-SV2C	36254	102	11	0	1.0	
Conditional	ANK2	Up	IN-SV2C	1584	102	2	0	1.0	
Global	ANK2	Up	Microglia	36254	102	58	1	0.15086811147381773	PLEKHA5
Conditional	ANK2	Up	Microglia	1584	102	9	1	0.45152684143746225	PLEKHA5
Global	ANK2	Up	AST-PP	36254	102	45	0	1.0	
Conditional	ANK2	Up	AST-PP	1584	102	7	0	1.0	
Global	ANK2	Up	AST-FB	36254	102	13	0	1.0	
Conditional	ANK2	Up	AST-FB	1584	102	1	0	1.0	
Global	ANK2	Up	Oligodendrocytes	36254	102	6	0	1.0	
Conditional	ANK2	Up	Oligodendrocytes	1584	102	1	0	1.0	
Global	ANK2	Up	OPC	36254	102	1	0	1.0	
Conditional	ANK2	Up	OPC	1584	102	0	0	1.0	
Global	ANK2	Up	Endothelial	36254	102	33	0	1.0	
Conditional	ANK2	Up	Endothelial	1584	102	2	0	1.0	
Global	ANK2	Down	L2/3	36254	102	46	0	1.0	
Conditional	ANK2	Down	L2/3	1584	102	8	0	1.0	
Global	ANK2	Down	L4	36254	102	40	0	1.0	
Conditional	ANK2	Down	L4	1584	102	2	0	1.0	
Global	ANK2	Down	L5/6	36254	102	3	0	1.0	
Conditional	ANK2	Down	L5/6	1584	102	1	0	1.0	
Global	ANK2	Down	L5/6-CC	36254	102	5	0	1.0	
Conditional	ANK2	Down	L5/6-CC	1584	102	2	0	1.0	
Global	ANK2	Down	Neu-mat	36254	102	2	0	1.0	
Conditional	ANK2	Down	Neu-mat	1584	102	0	0	1.0	
Global	ANK2	Down	Neu-NRGN-I	36254	102	6	1	0.016763753009085315	GABARAPL2
Conditional	ANK2	Down	Neu-NRGN-I	1584	102	2	1	0.1246793583338119	GABARAPL2
Global	ANK2	Down	Neu-NRGN-II	36254	102	9	0	1.0	
Conditional	ANK2	Down	Neu-NRGN-II	1584	102	1	0	1.0	
Global	ANK2	Down	IN-PV	36254	102	8	0	1.0	
Conditional	ANK2	Down	IN-PV	1584	102	1	0	1.0	
Global	ANK2	Down	IN-SST	36254	102	8	0	1.0	
Conditional	ANK2	Down	IN-SST	1584	102	1	0	1.0	
Global	ANK2	Down	IN-VIP	36254	102	21	0	1.0	
Conditional	ANK2	Down	IN-VIP	1584	102	2	0	1.0	
Global	ANK2	Down	IN-SV2C	36254	102	21	0	1.0	
Conditional	ANK2	Down	IN-SV2C	1584	102	3	0	1.0	
Global	ANK2	Down	Microglia	36254	102	20	0	1.0	
Conditional	ANK2	Down	Microglia	1584	102	4	0	1.0	
Global	ANK2	Down	AST-PP	36254	102	14	0	1.0	
Conditional	ANK2	Down	AST-PP	1584	102	1	0	1.0	
Global	ANK2	Down	AST-FB	36254	102	2	0	1.0	
Conditional	ANK2	Down	AST-FB	1584	102	1	0	1.0	
Global	ANK2	Down	Oligodendrocytes	36254	102	10	0	1.0	
Conditional	ANK2	Down	Oligodendrocytes	1584	102	2	0	1.0	
Global	ANK2	Down	OPC	36254	102	2	0	1.0	
Conditional	ANK2	Down	OPC	1584	102	0	0	1.0	
Global	ANK2	Down	Endothelial	36254	102	26	0	1.0	
Conditional	ANK2	Down	Endothelial	1584	102	5	0	1.0	
Global	ARID1B	All	L2/3	36254	40	107	2	0.006256314085651572	NLGN1,DPYSL2
Conditional	ARID1B	All	L2/3	1448	40	19	2	0.09468089961890938	NLGN1,DPYSL2
Global	ARID1B	All	L4	36254	40	105	0	1.0	
Conditional	ARID1B	All	L4	1448	40	8	0	1.0	
Global	ARID1B	All	L5/6	36254	40	8	0	1.0	
Conditional	ARID1B	All	L5/6	1448	40	2	0	1.0	
Global	ARID1B	All	L5/6-CC	36254	40	19	0	1.0	
Conditional	ARID1B	All	L5/6-CC	1448	40	6	0	1.0	
Global	ARID1B	All	Neu-mat	36254	40	3	0	1.0	
Conditional	ARID1B	All	Neu-mat	1448	40	0	0	1.0	
Global	ARID1B	All	Neu-NRGN-I	36254	40	13	0	1.0	
Conditional	ARID1B	All	Neu-NRGN-I	1448	40	3	0	1.0	
Global	ARID1B	All	Neu-NRGN-II	36254	40	26	0	1.0	
Conditional	ARID1B	All	Neu-NRGN-II	1448	40	1	0	1.0	
Global	ARID1B	All	IN-PV	36254	40	27	0	1.0	
Conditional	ARID1B	All	IN-PV	1448	40	4	0	1.0	
Global	ARID1B	All	IN-SST	36254	40	29	0	1.0	
Conditional	ARID1B	All	IN-SST	1448	40	4	0	1.0	
Global	ARID1B	All	IN-VIP	36254	40	79	0	1.0	
Conditional	ARID1B	All	IN-VIP	1448	40	8	0	1.0	
Global	ARID1B	All	IN-SV2C	36254	40	32	0	1.0	
Conditional	ARID1B	All	IN-SV2C	1448	40	5	0	1.0	
Global	ARID1B	All	Microglia	36254	40	78	0	1.0	
Conditional	ARID1B	All	Microglia	1448	40	12	0	1.0	
Global	ARID1B	All	AST-PP	36254	40	59	0	1.0	
Conditional	ARID1B	All	AST-PP	1448	40	8	0	1.0	
Global	ARID1B	All	AST-FB	36254	40	15	0	1.0	
Conditional	ARID1B	All	AST-FB	1448	40	1	0	1.0	
Global	ARID1B	All	Oligodendrocytes	36254	40	16	0	1.0	
Conditional	ARID1B	All	Oligodendrocytes	1448	40	3	0	1.0	
Global	ARID1B	All	OPC	36254	40	3	0	1.0	
Conditional	ARID1B	All	OPC	1448	40	0	0	1.0	
Global	ARID1B	All	Endothelial	36254	40	59	0	1.0	
Conditional	ARID1B	All	Endothelial	1448	40	6	0	1.0	
Global	ARID1B	Up	L2/3	36254	40	61	2	0.0020844836740969252	NLGN1,DPYSL2
Conditional	ARID1B	Up	L2/3	1448	40	11	2	0.03496645141731699	NLGN1,DPYSL2
Global	ARID1B	Up	L4	36254	40	65	0	1.0	
Conditional	ARID1B	Up	L4	1448	40	6	0	1.0	
Global	ARID1B	Up	L5/6	36254	40	5	0	1.0	
Conditional	ARID1B	Up	L5/6	1448	40	1	0	1.0	
Global	ARID1B	Up	L5/6-CC	36254	40	14	0	1.0	
Conditional	ARID1B	Up	L5/6-CC	1448	40	4	0	1.0	
Global	ARID1B	Up	Neu-mat	36254	40	1	0	1.0	
Conditional	ARID1B	Up	Neu-mat	1448	40	0	0	1.0	
Global	ARID1B	Up	Neu-NRGN-I	36254	40	7	0	1.0	
Conditional	ARID1B	Up	Neu-NRGN-I	1448	40	1	0	1.0	
Global	ARID1B	Up	Neu-NRGN-II	36254	40	17	0	1.0	
Conditional	ARID1B	Up	Neu-NRGN-II	1448	40	0	0	1.0	
Global	ARID1B	Up	IN-PV	36254	40	19	0	1.0	
Conditional	ARID1B	Up	IN-PV	1448	40	3	0	1.0	
Global	ARID1B	Up	IN-SST	36254	40	21	0	1.0	
Conditional	ARID1B	Up	IN-SST	1448	40	3	0	1.0	
Global	ARID1B	Up	IN-VIP	36254	40	58	0	1.0	
Conditional	ARID1B	Up	IN-VIP	1448	40	6	0	1.0	
Global	ARID1B	Up	IN-SV2C	36254	40	11	0	1.0	
Conditional	ARID1B	Up	IN-SV2C	1448	40	2	0	1.0	
Global	ARID1B	Up	Microglia	36254	40	58	0	1.0	
Conditional	ARID1B	Up	Microglia	1448	40	8	0	1.0	
Global	ARID1B	Up	AST-PP	36254	40	45	0	1.0	
Conditional	ARID1B	Up	AST-PP	1448	40	7	0	1.0	
Global	ARID1B	Up	AST-FB	36254	40	13	0	1.0	
Conditional	ARID1B	Up	AST-FB	1448	40	1	0	1.0	
Global	ARID1B	Up	Oligodendrocytes	36254	40	6	0	1.0	
Conditional	ARID1B	Up	Oligodendrocytes	1448	40	1	0	1.0	
Global	ARID1B	Up	OPC	36254	40	1	0	1.0	
Conditional	ARID1B	Up	OPC	1448	40	0	0	1.0	
Global	ARID1B	Up	Endothelial	36254	40	33	0	1.0	
Conditional	ARID1B	Up	Endothelial	1448	40	1	0	1.0	
Global	ARID1B	Down	L2/3	36254	40	46	0	1.0	
Conditional	ARID1B	Down	L2/3	1448	40	8	0	1.0	
Global	ARID1B	Down	L4	36254	40	40	0	1.0	
Conditional	ARID1B	Down	L4	1448	40	2	0	1.0	
Global	ARID1B	Down	L5/6	36254	40	3	0	1.0	
Conditional	ARID1B	Down	L5/6	1448	40	1	0	1.0	
Global	ARID1B	Down	L5/6-CC	36254	40	5	0	1.0	
Conditional	ARID1B	Down	L5/6-CC	1448	40	2	0	1.0	
Global	ARID1B	Down	Neu-mat	36254	40	2	0	1.0	
Conditional	ARID1B	Down	Neu-mat	1448	40	0	0	1.0	
Global	ARID1B	Down	Neu-NRGN-I	36254	40	6	0	1.0	
Conditional	ARID1B	Down	Neu-NRGN-I	1448	40	2	0	1.0	
Global	ARID1B	Down	Neu-NRGN-II	36254	40	9	0	1.0	
Conditional	ARID1B	Down	Neu-NRGN-II	1448	40	1	0	1.0	
Global	ARID1B	Down	IN-PV	36254	40	8	0	1.0	
Conditional	ARID1B	Down	IN-PV	1448	40	1	0	1.0	
Global	ARID1B	Down	IN-SST	36254	40	8	0	1.0	
Conditional	ARID1B	Down	IN-SST	1448	40	1	0	1.0	
Global	ARID1B	Down	IN-VIP	36254	40	21	0	1.0	
Conditional	ARID1B	Down	IN-VIP	1448	40	2	0	1.0	
Global	ARID1B	Down	IN-SV2C	36254	40	21	0	1.0	
Conditional	ARID1B	Down	IN-SV2C	1448	40	3	0	1.0	
Global	ARID1B	Down	Microglia	36254	40	20	0	1.0	
Conditional	ARID1B	Down	Microglia	1448	40	4	0	1.0	
Global	ARID1B	Down	AST-PP	36254	40	14	0	1.0	
Conditional	ARID1B	Down	AST-PP	1448	40	1	0	1.0	
Global	ARID1B	Down	AST-FB	36254	40	2	0	1.0	
Conditional	ARID1B	Down	AST-FB	1448	40	0	0	1.0	
Global	ARID1B	Down	Oligodendrocytes	36254	40	10	0	1.0	
Conditional	ARID1B	Down	Oligodendrocytes	1448	40	2	0	1.0	
Global	ARID1B	Down	OPC	36254	40	2	0	1.0	
Conditional	ARID1B	Down	OPC	1448	40	0	0	1.0	
Global	ARID1B	Down	Endothelial	36254	40	26	0	1.0	
Conditional	ARID1B	Down	Endothelial	1448	40	5	0	1.0	
Global	CHD8	All	L2/3	36254	76	107	0	1.0	
Conditional	CHD8	All	L2/3	1448	76	19	0	1.0	
Global	CHD8	All	L4	36254	76	105	0	1.0	
Conditional	CHD8	All	L4	1448	76	8	0	1.0	
Global	CHD8	All	L5/6	36254	76	8	0	1.0	
Conditional	CHD8	All	L5/6	1448	76	2	0	1.0	
Global	CHD8	All	L5/6-CC	36254	76	19	0	1.0	
Conditional	CHD8	All	L5/6-CC	1448	76	6	0	1.0	
Global	CHD8	All	Neu-mat	36254	76	3	0	1.0	
Conditional	CHD8	All	Neu-mat	1448	76	0	0	1.0	
Global	CHD8	All	Neu-NRGN-I	36254	76	13	0	1.0	
Conditional	CHD8	All	Neu-NRGN-I	1448	76	3	0	1.0	
Global	CHD8	All	Neu-NRGN-II	36254	76	26	0	1.0	
Conditional	CHD8	All	Neu-NRGN-II	1448	76	1	0	1.0	
Global	CHD8	All	IN-PV	36254	76	27	1	0.05510399866573058	RAB3GAP1
Conditional	CHD8	All	IN-PV	1448	76	4	1	0.1941720097758852	RAB3GAP1
Global	CHD8	All	IN-SST	36254	76	29	0	1.0	
Conditional	CHD8	All	IN-SST	1448	76	4	0	1.0	
Global	CHD8	All	IN-VIP	36254	76	79	1	0.15292151468146997	ELAVL2
Conditional	CHD8	All	IN-VIP	1448	76	8	1	0.35104057292695334	ELAVL2
Global	CHD8	All	IN-SV2C	36254	76	32	1	0.06497444785360666	ELAVL4
Conditional	CHD8	All	IN-SV2C	1448	76	5	1	0.2365840092613649	ELAVL4
Global	CHD8	All	Microglia	36254	76	78	0	1.0	
Conditional	CHD8	All	Microglia	1448	76	13	0	1.0	
Global	CHD8	All	AST-PP	36254	76	59	0	1.0	
Conditional	CHD8	All	AST-PP	1448	76	8	0	1.0	
Global	CHD8	All	AST-FB	36254	76	15	0	1.0	
Conditional	CHD8	All	AST-FB	1448	76	1	0	1.0	
Global	CHD8	All	Oligodendrocytes	36254	76	16	0	1.0	
Conditional	CHD8	All	Oligodendrocytes	1448	76	3	0	1.0	
Global	CHD8	All	OPC	36254	76	3	0	1.0	
Conditional	CHD8	All	OPC	1448	76	0	0	1.0	
Global	CHD8	All	Endothelial	36254	76	59	0	1.0	
Conditional	CHD8	All	Endothelial	1448	76	6	0	1.0	
Global	CHD8	Up	L2/3	36254	76	61	0	1.0	
Conditional	CHD8	Up	L2/3	1448	76	11	0	1.0	
Global	CHD8	Up	L4	36254	76	65	0	1.0	
Conditional	CHD8	Up	L4	1448	76	6	0	1.0	
Global	CHD8	Up	L5/6	36254	76	5	0	1.0	
Conditional	CHD8	Up	L5/6	1448	76	1	0	1.0	
Global	CHD8	Up	L5/6-CC	36254	76	14	0	1.0	
Conditional	CHD8	Up	L5/6-CC	1448	76	4	0	1.0	
Global	CHD8	Up	Neu-mat	36254	76	1	0	1.0	
Conditional	CHD8	Up	Neu-mat	1448	76	0	0	1.0	
Global	CHD8	Up	Neu-NRGN-I	36254	76	7	0	1.0	
Conditional	CHD8	Up	Neu-NRGN-I	1448	76	1	0	1.0	
Global	CHD8	Up	Neu-NRGN-II	36254	76	17	0	1.0	
Conditional	CHD8	Up	Neu-NRGN-II	1448	76	0	0	1.0	
Global	CHD8	Up	IN-PV	36254	76	19	1	0.039096994944745056	RAB3GAP1
Conditional	CHD8	Up	IN-PV	1448	76	3	1	0.14943648950047786	RAB3GAP1
Global	CHD8	Up	IN-SST	36254	76	21	0	1.0	
Conditional	CHD8	Up	IN-SST	1448	76	3	0	1.0	
Global	CHD8	Up	IN-VIP	36254	76	58	1	0.11468351533644845	ELAVL2
Conditional	CHD8	Up	IN-VIP	1448	76	6	1	0.2767916428692211	ELAVL2
Global	CHD8	Up	IN-SV2C	36254	76	11	1	0.02282245222709316	ELAVL4
Conditional	CHD8	Up	IN-SV2C	1448	76	2	1	0.10225194439247517	ELAVL4
Global	CHD8	Up	Microglia	36254	76	58	0	1.0	
Conditional	CHD8	Up	Microglia	1448	76	9	0	1.0	
Global	CHD8	Up	AST-PP	36254	76	45	0	1.0	
Conditional	CHD8	Up	AST-PP	1448	76	7	0	1.0	
Global	CHD8	Up	AST-FB	36254	76	13	0	1.0	
Conditional	CHD8	Up	AST-FB	1448	76	1	0	1.0	
Global	CHD8	Up	Oligodendrocytes	36254	76	6	0	1.0	
Conditional	CHD8	Up	Oligodendrocytes	1448	76	1	0	1.0	
Global	CHD8	Up	OPC	36254	76	1	0	1.0	
Conditional	CHD8	Up	OPC	1448	76	0	0	1.0	
Global	CHD8	Up	Endothelial	36254	76	33	0	1.0	
Conditional	CHD8	Up	Endothelial	1448	76	1	0	1.0	
Global	CHD8	Down	L2/3	36254	76	46	0	1.0	
Conditional	CHD8	Down	L2/3	1448	76	8	0	1.0	
Global	CHD8	Down	L4	36254	76	40	0	1.0	
Conditional	CHD8	Down	L4	1448	76	2	0	1.0	
Global	CHD8	Down	L5/6	36254	76	3	0	1.0	
Conditional	CHD8	Down	L5/6	1448	76	1	0	1.0	
Global	CHD8	Down	L5/6-CC	36254	76	5	0	1.0	
Conditional	CHD8	Down	L5/6-CC	1448	76	2	0	1.0	
Global	CHD8	Down	Neu-mat	36254	76	2	0	1.0	
Conditional	CHD8	Down	Neu-mat	1448	76	0	0	1.0	
Global	CHD8	Down	Neu-NRGN-I	36254	76	6	0	1.0	
Conditional	CHD8	Down	Neu-NRGN-I	1448	76	2	0	1.0	
Global	CHD8	Down	Neu-NRGN-II	36254	76	9	0	1.0	
Conditional	CHD8	Down	Neu-NRGN-II	1448	76	1	0	1.0	
Global	CHD8	Down	IN-PV	36254	76	8	0	1.0	
Conditional	CHD8	Down	IN-PV	1448	76	1	0	1.0	
Global	CHD8	Down	IN-SST	36254	76	8	0	1.0	
Conditional	CHD8	Down	IN-SST	1448	76	1	0	1.0	
Global	CHD8	Down	IN-VIP	36254	76	21	0	1.0	
Conditional	CHD8	Down	IN-VIP	1448	76	2	0	1.0	
Global	CHD8	Down	IN-SV2C	36254	76	21	0	1.0	
Conditional	CHD8	Down	IN-SV2C	1448	76	3	0	1.0	
Global	CHD8	Down	Microglia	36254	76	20	0	1.0	
Conditional	CHD8	Down	Microglia	1448	76	4	0	1.0	
Global	CHD8	Down	AST-PP	36254	76	14	0	1.0	
Conditional	CHD8	Down	AST-PP	1448	76	1	0	1.0	
Global	CHD8	Down	AST-FB	36254	76	2	0	1.0	
Conditional	CHD8	Down	AST-FB	1448	76	0	0	1.0	
Global	CHD8	Down	Oligodendrocytes	36254	76	10	0	1.0	
Conditional	CHD8	Down	Oligodendrocytes	1448	76	2	0	1.0	
Global	CHD8	Down	OPC	36254	76	2	0	1.0	
Conditional	CHD8	Down	OPC	1448	76	0	0	1.0	
Global	CHD8	Down	Endothelial	36254	76	26	0	1.0	
Conditional	CHD8	Down	Endothelial	1448	76	5	0	1.0	
Global	CTNNB1	All	L2/3	36254	24	107	2	0.0022828379032573706	CDH9,CDH2
Conditional	CTNNB1	All	L2/3	1448	24	19	2	0.03792355082111599	CDH9,CDH2
