Test	Dataset	CellType	PopCount	IntCount	ExpCount	OverlapCount	P
Global	ARID1B	L5/6-CC	36254	40	4308	19	2.7680736107712204e-08
Conditional	ARID1B	L5/6-CC	1448	40	701	19	0.6084933791533049
Global	ARID1B	IN-SV2C	36254	40	1564	7	0.0014648525399616403
Conditional	ARID1B	IN-SV2C	1448	40	288	7	0.711525636791691
Global	ARID1B	L2/3	36254	40	3050	14	2.444627107567511e-06
Conditional	ARID1B	L2/3	1448	40	493	14	0.509139384261401
Global	ARID1B	IN-PV	36254	40	1756	7	0.002824458112392506
Conditional	ARID1B	IN-PV	1448	40	314	7	0.7983198380830596
Global	ARID1B	L4	36254	40	1817	8	0.0007160773784175759
Conditional	ARID1B	L4	1448	40	320	8	0.6883437932781067
Global	ARID1B	IN-SST	36254	40	875	4	0.015474412319512808
Conditional	ARID1B	IN-SST	1448	40	160	4	0.6617979210374699
Global	ARID1B	Neu-mat	36254	40	211	1	0.2083279405528127
Conditional	ARID1B	Neu-mat	1448	40	33	1	0.6073942109334741
Global	ARID1B	AST-PP	36254	40	269	1	0.2577449423923501
Conditional	ARID1B	AST-PP	1448	40	38	1	0.6599063589424574
Global	CHD8	Neu-NRGN-II	36254	76	101	3	0.0012729227291716889
Conditional	CHD8	Neu-NRGN-II	1448	76	34	3	0.26270486952854627
Global	CHD8	L5/6	36254	76	2400	26	1.1510032024529123e-12
Conditional	CHD8	L5/6	1448	76	415	26	0.16593364484465645
Global	CHD8	Oligodendrocytes	36254	76	169	1	0.29915964081072455
Conditional	CHD8	Oligodendrocytes	1448	76	30	1	0.8049091547470402
Global	CHD8	OPC	36254	76	256	2	0.10084412125062707
Conditional	CHD8	OPC	1448	76	38	2	0.6032658697328159
Global	CHD8	AST-FB	36254	76	94	1	0.17923189541841314
Conditional	CHD8	AST-FB	1448	76	13	1	0.5053380186009703
Global	CHD8	Endothelial	36254	76	167	2	0.04815175336437331
Conditional	CHD8	Endothelial	1448	76	28	2	0.437639448990338
Global	CHD8	Microglia	36254	76	73	0	1.0
Conditional	CHD8	Microglia	1448	76	6	0	1.0
Global	CHD8	Neu-NRGN-I	36254	76	389	10	9.169299062278485e-09
Conditional	CHD8	Neu-NRGN-I	1448	76	119	10	0.08699938466752595
Global	CHD8	IN-VIP	36254	76	966	9	0.00018808597674491113
Conditional	CHD8	IN-VIP	1448	76	172	9	0.560035842197333
Global	CHD8	L5/6-CC	36254	76	4308	39	5.288550350365215e-17
Conditional	CHD8	L5/6-CC	1448	76	701	39	0.34341450568165366
Global	CHD8	IN-SV2C	36254	76	1564	19	3.790141572435409e-10
Conditional	CHD8	IN-SV2C	1448	76	289	19	0.16252502955681158
Global	CHD8	L2/3	36254	76	3050	30	1.3331910749005458e-13
Conditional	CHD8	L2/3	1448	76	494	30	0.1866592358972327
Global	CHD8	IN-PV	36254	76	1756	18	1.6883305080758544e-08
Conditional	CHD8	IN-PV	1448	76	315	18	0.3827785073830294
Global	CHD8	L4	36254	76	1817	19	4.487457338968037e-09
Conditional	CHD8	L4	1448	76	321	19	0.31323188095337473
Global	CHD8	IN-SST	36254	76	875	10	1.4430014257435123e-05
Conditional	CHD8	IN-SST	1448	76	161	10	0.3336103352401096
Global	CHD8	Neu-mat	36254	76	211	3	0.010004490851117714
Conditional	CHD8	Neu-mat	1448	76	33	3	0.24822168280522333
Global	CHD8	AST-PP	36254	76	269	2	0.1094924723585969
Conditional	CHD8	AST-PP	1448	76	39	2	0.6176975806801058
Global	CTNNB1	Neu-NRGN-II	36254	24	101	0	1.0
Conditional	CTNNB1	Neu-NRGN-II	1448	24	34	0	1.0
Global	CTNNB1	L5/6	36254	24	2400	9	1.2623103146723257e-05
Conditional	CTNNB1	L5/6	1448	24	415	9	0.2260434037096726
Global	CTNNB1	Oligodendrocytes	36254	24	169	1	0.10611178810317766
Conditional	CTNNB1	Oligodendrocytes	1448	24	30	1	0.397421918350309
Global	CTNNB1	OPC	36254	24	256	4	2.3089247883527163e-05
Conditional	CTNNB1	OPC	1448	24	38	4	0.0029422863343066324
Global	CTNNB1	AST-FB	36254	24	94	2	0.0017687810325763289
Conditional	CTNNB1	AST-FB	1448	24	13	2	0.018377437662507025
Global	CTNNB1	Endothelial	36254	24	167	0	1.0
Conditional	CTNNB1	Endothelial	1448	24	28	0	1.0
Global	CTNNB1	Microglia	36254	24	73	0	1.0
Conditional	CTNNB1	Microglia	1448	24	6	0	1.0
Global	CTNNB1	Neu-NRGN-I	36254	24	389	1	0.22816967456579287
Conditional	CTNNB1	Neu-NRGN-I	1448	24	119	1	0.8744961651423373
Global	CTNNB1	IN-VIP	36254	24	966	7	2.1723016792178816e-06
Conditional	CTNNB1	IN-VIP	1448	24	172	7	0.017566141620113836
Global	CTNNB1	L5/6-CC	36254	24	4308	14	6.69392861089022e-08
Conditional	CTNNB1	L5/6-CC	1448	24	701	14	0.21931095147142451
Global	CTNNB1	IN-SV2C	36254	24	1564	5	0.003176876998206076
Conditional	CTNNB1	IN-SV2C	1448	24	288	5	0.5356821845621553
Global	CTNNB1	L2/3	36254	24	3050	11	1.3018729478825177e-06
Conditional	CTNNB1	L2/3	1448	24	493	11	0.15580690240294215
Global	CTNNB1	IN-PV	36254	24	1756	5	0.0052086888413142565
Conditional	CTNNB1	IN-PV	1448	24	315	5	0.6243660239536325
Global	CTNNB1	L4	36254	24	1817	7	0.00012780533542507155
Conditional	CTNNB1	L4	1448	24	320	7	0.26706221419020115
Global	CTNNB1	IN-SST	36254	24	875	6	1.8027783365990618e-05
Conditional	CTNNB1	IN-SST	1448	24	161	6	0.042200310969089654
Global	CTNNB1	Neu-mat	36254	24	211	3	0.00035941855559915834
Conditional	CTNNB1	Neu-mat	1448	24	33	3	0.015757433701050597
Global	CTNNB1	AST-PP	36254	24	269	3	0.0007284905784391962
Conditional	CTNNB1	AST-PP	1448	24	39	3	0.024727003494213955
Global	DYRK1A	Neu-NRGN-II	36254	583	101	13	9.446793268998601e-09
Conditional	DYRK1A	Neu-NRGN-II	1667	583	31	13	0.2608502965928002
Global	DYRK1A	L5/6	36254	583	2400	185	5.0576842221197466e-76
Conditional	DYRK1A	L5/6	1667	583	445	185	0.0004361658987467845
Global	DYRK1A	Oligodendrocytes	36254	583	169	12	2.0630190192942234e-05
Conditional	DYRK1A	Oligodendrocytes	1667	583	35	12	0.598081391990968
Global	DYRK1A	OPC	36254	583	256	12	0.0009870120284890425
Conditional	DYRK1A	OPC	1667	583	39	12	0.7637310326384504
Global	DYRK1A	AST-FB	36254	583	94	7	0.000821800322065302
Conditional	DYRK1A	AST-FB	1667	583	19	7	0.5181671704998596
Global	DYRK1A	Endothelial	36254	583	167	12	1.8319039162864427e-05
Conditional	DYRK1A	Endothelial	1667	583	29	12	0.2924984558904282
Global	DYRK1A	Microglia	36254	583	73	5	0.006471274802767565
Conditional	DYRK1A	Microglia	1667	583	11	5	0.3305868815051792
Global	DYRK1A	Neu-NRGN-I	36254	583	389	51	6.720638050703277e-31
Conditional	DYRK1A	Neu-NRGN-I	1667	583	110	51	0.007096142478414091
Global	DYRK1A	IN-VIP	36254	583	966	71	1.2121525693153352e-26
Conditional	DYRK1A	IN-VIP	1667	583	182	71	0.1299950404081178
Global	DYRK1A	L5/6-CC	36254	583	4308	317	4.170755732594746e-139
Conditional	DYRK1A	L5/6-CC	1667	583	753	317	2.0995244774894452e-08
Global	DYRK1A	IN-SV2C	36254	583	1564	135	1.0007632328160306e-59
Conditional	DYRK1A	IN-SV2C	1667	583	299	135	3.811056460777097e-05
Global	DYRK1A	L2/3	36254	583	3050	231	1.495715332779156e-96
Conditional	DYRK1A	L2/3	1667	583	545	231	7.0689993734789655e-06
Global	DYRK1A	IN-PV	36254	583	1756	138	3.7417495044727756e-56
Conditional	DYRK1A	IN-PV	1667	583	339	138	0.008175039959162257
Global	DYRK1A	L4	36254	583	1817	144	3.0591259478151053e-59
Conditional	DYRK1A	L4	1667	583	345	144	0.0020353821796896946
Global	DYRK1A	IN-SST	36254	583	875	62	1.631006177872123e-22
Conditional	DYRK1A	IN-SST	1667	583	164	62	0.23639890866851068
Global	DYRK1A	Neu-mat	36254	583	211	11	0.0006694147246769757
Conditional	DYRK1A	Neu-mat	1667	583	39	11	0.8576098814784051
Global	DYRK1A	AST-PP	36254	583	269	12	0.0015037309953041377
Conditional	DYRK1A	AST-PP	1667	583	46	12	0.927673101906499
Global	GIGYF1	Neu-NRGN-II	36254	30	101	2	0.003176977259099851
Conditional	GIGYF1	Neu-NRGN-II	950	30	27	2	0.20835108353078377
Global	GIGYF1	L5/6	36254	30	2400	13	1.8686148730170687e-08
Conditional	GIGYF1	L5/6	950	30	285	13	0.08108989235276566
Global	GIGYF1	Oligodendrocytes	36254	30	169	1	0.13084154668470896
Conditional	GIGYF1	Oligodendrocytes	950	30	21	1	0.4939754004881919
Global	GIGYF1	OPC	36254	30	256	2	0.018970373437483208
Conditional	GIGYF1	OPC	950	30	26	2	0.19660933982518541
Global	GIGYF1	AST-FB	36254	30	94	1	0.07495856113821595
Conditional	GIGYF1	AST-FB	950	30	9	1	0.25176491916940213
Global	GIGYF1	Endothelial	36254	30	167	1	0.1293946175007526
Conditional	GIGYF1	Endothelial	950	30	20	1	0.4771079138377978
Global	GIGYF1	Microglia	36254	30	73	0	1.0
Conditional	GIGYF1	Microglia	950	30	3	0	1.0
Global	GIGYF1	Neu-NRGN-I	36254	30	389	7	2.5536127603459132e-08
Conditional	GIGYF1	Neu-NRGN-I	950	30	94	7	0.02251690467935115
Global	GIGYF1	IN-VIP	36254	30	966	9	5.642921297168617e-08
Conditional	GIGYF1	IN-VIP	950	30	117	9	0.007225853784294624
Global	GIGYF1	L5/6-CC	36254	30	4308	19	3.773265692263814e-11
Conditional	GIGYF1	L5/6-CC	950	30	485	19	0.1183314208492929
Global	GIGYF1	IN-SV2C	36254	30	1564	12	1.6722641214618994e-09
Conditional	GIGYF1	IN-SV2C	950	30	195	12	0.010504797838205049
Global	GIGYF1	L2/3	36254	30	3050	14	3.43447259001278e-08
Conditional	GIGYF1	L2/3	950	30	341	14	0.14564461394011433
Global	GIGYF1	IN-PV	36254	30	1756	11	7.760466369358306e-08
Conditional	GIGYF1	IN-PV	950	30	213	11	0.05185841704367192
Global	GIGYF1	L4	36254	30	1817	12	9.01386497275798e-09
Conditional	GIGYF1	L4	950	30	222	12	0.029232805646455272
Global	GIGYF1	IN-SST	36254	30	875	11	5.466858804315094e-11
Conditional	GIGYF1	IN-SST	950	30	110	11	0.00025046195487596877
Global	GIGYF1	Neu-mat	36254	30	211	3	0.0007026672155604034
Conditional	GIGYF1	Neu-mat	950	30	22	3	0.029184452411307175
Global	GIGYF1	AST-PP	36254	30	269	2	0.02081177817650205
Conditional	GIGYF1	AST-PP	950	30	25	2	0.1849663848286489
Global	MED13L	Neu-NRGN-II	36254	44	101	1	0.11558033805206124
Conditional	MED13L	Neu-NRGN-II	1210	44	29	1	0.6627952441143954
Global	MED13L	L5/6	36254	44	2400	14	5.18063351334577e-07
Conditional	MED13L	L5/6	1210	44	366	14	0.4664243329031872
Global	MED13L	Oligodendrocytes	36254	44	169	3	0.0011452483195293255
Conditional	MED13L	Oligodendrocytes	1210	44	27	3	0.07141430744255134
Global	MED13L	OPC	36254	44	256	3	0.003722033972340571
Conditional	MED13L	OPC	1210	44	36	3	0.13937825098279968
Global	MED13L	AST-FB	36254	44	94	0	1.0
Conditional	MED13L	AST-FB	1210	44	12	0	1.0
Global	MED13L	Endothelial	36254	44	167	3	0.0011066962951077491
Conditional	MED13L	Endothelial	1210	44	24	3	0.053279342691919473
Global	MED13L	Microglia	36254	44	73	0	1.0
Conditional	MED13L	Microglia	1210	44	4	0	1.0
Global	MED13L	Neu-NRGN-I	36254	44	389	1	0.3780824716493321
Conditional	MED13L	Neu-NRGN-I	1210	44	100	1	0.9790936978217839
Global	MED13L	IN-VIP	36254	44	966	5	0.006108928733519735
Conditional	MED13L	IN-VIP	1210	44	153	5	0.6728960237262512
Global	MED13L	L5/6-CC	36254	44	4308	23	8.123363736699384e-11
Conditional	MED13L	L5/6-CC	1210	44	606	23	0.4435110024171353
Global	MED13L	IN-SV2C	36254	44	1564	10	1.405184219939937e-05
Conditional	MED13L	IN-SV2C	1210	44	253	10	0.4415698166698503
Global	MED13L	L2/3	36254	44	3050	17	3.807137369911498e-08
Conditional	MED13L	L2/3	1210	44	432	17	0.394948314620273
Global	MED13L	IN-PV	36254	44	1756	12	7.975987685056174e-07
Conditional	MED13L	IN-PV	1210	44	270	12	0.2612798782749093
Global	MED13L	L4	36254	44	1817	11	8.050444656577976e-06
Conditional	MED13L	L4	1210	44	280	11	0.44203913679408074
Global	MED13L	IN-SST	36254	44	875	5	0.004035776078810863
Conditional	MED13L	IN-SST	1210	44	143	5	0.6102276641610775
Global	MED13L	Neu-mat	36254	44	211	1	0.2266186966012811
Conditional	MED13L	Neu-mat	1210	44	28	1	0.6497574503894685
Global	MED13L	AST-PP	36254	44	269	2	0.042306993542699706
Conditional	MED13L	AST-PP	1210	44	34	2	0.35305922245586513
Global	PTEN	Neu-NRGN-II	36254	3	101	1	0.00833466563462981
Conditional	PTEN	Neu-NRGN-II	216	3	10	1	0.1331473834190635
Global	PTEN	L5/6	36254	3	2400	1	0.1857465065392712
Conditional	PTEN	L5/6	216	3	49	1	0.5397407568403004
Global	PTEN	Oligodendrocytes	36254	3	169	0	1.0
Conditional	PTEN	Oligodendrocytes	216	3	3	0	1.0
Global	PTEN	OPC	36254	3	256	0	1.0
Conditional	PTEN	OPC	216	3	4	0	1.0
Global	PTEN	AST-FB	36254	3	94	0	1.0
Conditional	PTEN	AST-FB	216	3	0	0	1.0
Global	PTEN	Endothelial	36254	3	167	1	0.013755983775490347
Conditional	PTEN	Endothelial	216	3	10	1	0.1331473834190635
Global	PTEN	Microglia	36254	3	73	0	1.0
Conditional	PTEN	Microglia	216	3	0	0	1.0
Global	PTEN	Neu-NRGN-I	36254	3	389	1	0.0318462667247419
Conditional	PTEN	Neu-NRGN-I	216	3	20	1	0.2539182303364002
Global	PTEN	IN-VIP	36254	3	966	1	0.07782709186129236
Conditional	PTEN	IN-VIP	216	3	16	1	0.20705643700644785
Global	PTEN	L5/6-CC	36254	3	4308	2	0.03899811789257017
Conditional	PTEN	L5/6-CC	216	3	102	2	0.45818179622787325
Global	PTEN	IN-SV2C	36254	3	1564	1	0.1239205607803133
Conditional	PTEN	IN-SV2C	216	3	30	1	0.36291627423989953
Global	PTEN	L2/3	36254	3	3050	2	0.020036721920384633
Conditional	PTEN	L2/3	216	3	62	2	0.1986488444541042
Global	PTEN	IN-PV	36254	3	1756	1	0.1383872182645743
Conditional	PTEN	IN-PV	216	3	31	1	0.37319181820377206
Global	PTEN	L4	36254	3	1817	1	0.1429498321531004
Conditional	PTEN	L4	216	3	40	1	0.46074524861745014
Global	PTEN	IN-SST	36254	3	875	1	0.07067423112625605
Conditional	PTEN	IN-SST	216	3	14	1	0.18290709749088363
Global	PTEN	Neu-mat	36254	3	211	0	1.0
Conditional	PTEN	Neu-mat	216	3	3	0	1.0
Global	PTEN	AST-PP	36254	3	269	0	1.0
Conditional	PTEN	AST-PP	216	3	1	0	1.0
Global	SCN2A	Neu-NRGN-II	36254	54	101	2	0.01000756213590461
Conditional	SCN2A	Neu-NRGN-II	855	54	25	2	0.47697079066684067
Global	SCN2A	L5/6	36254	54	2400	23	9.991558604410772e-14
Conditional	SCN2A	L5/6	855	54	211	23	0.002156804155160829
Global	SCN2A	Oligodendrocytes	36254	54	169	0	1.0
Conditional	SCN2A	Oligodendrocytes	855	54	14	0	1.0
Global	SCN2A	OPC	36254	54	256	1	0.31814841915318515
Conditional	SCN2A	OPC	855	54	17	1	0.6737062042282562
Global	SCN2A	AST-FB	36254	54	94	1	0.13089964193700282
Conditional	SCN2A	AST-FB	855	54	7	1	0.3676727411216522
Global	SCN2A	Endothelial	36254	54	167	0	1.0
Conditional	SCN2A	Endothelial	855	54	18	0	1.0
Global	SCN2A	Microglia	36254	54	73	0	1.0
Conditional	SCN2A	Microglia	855	54	5	0	1.0
Global	SCN2A	Neu-NRGN-I	36254	54	389	10	2.834497026283142e-10
Conditional	SCN2A	Neu-NRGN-I	855	54	63	10	0.004116316984458512
Global	SCN2A	IN-VIP	36254	54	966	14	9.988246375026462e-11
Conditional	SCN2A	IN-VIP	855	54	91	14	0.0008089734905508712
Global	SCN2A	L5/6-CC	36254	54	4308	29	1.1177342467197227e-13
Conditional	SCN2A	L5/6-CC	855	54	361	29	0.05307551167735142
Global	SCN2A	IN-SV2C	36254	54	1564	20	3.4910530175136693e-14
Conditional	SCN2A	IN-SV2C	855	54	148	20	0.0002681016959661254
Global	SCN2A	L2/3	36254	54	3050	25	1.8118971053971631e-13
Conditional	SCN2A	L2/3	855	54	257	25	0.006861757912689176
Global	SCN2A	IN-PV	36254	54	1756	20	2.9985339390509245e-13
Conditional	SCN2A	IN-PV	855	54	160	20	0.0008178610624961821
Global	SCN2A	L4	36254	54	1817	17	5.920293069480983e-10
Conditional	SCN2A	L4	855	54	166	17	0.020103410873977694
Global	SCN2A	IN-SST	36254	54	875	10	5.834086858568332e-07
Conditional	SCN2A	IN-SST	855	54	81	10	0.02455389467210842
Global	SCN2A	Neu-mat	36254	54	211	3	0.0038749537156043713
Conditional	SCN2A	Neu-mat	855	54	15	3	0.0631113399316837
Global	SCN2A	AST-PP	36254	54	269	1	0.33132841844587463
Conditional	SCN2A	AST-PP	855	54	23	1	0.7814739545908875
Global	SHANK3	Neu-NRGN-II	36254	114	101	2	0.04045556580055878
Conditional	SHANK3	Neu-NRGN-II	1779	114	36	2	0.6836476385522696
Global	SHANK3	L5/6	36254	114	2400	29	2.1794053773328384e-10
Conditional	SHANK3	L5/6	1779	114	472	29	0.6442223564223506
Global	SHANK3	Oligodendrocytes	36254	114	169	1	0.4134477405217035
Conditional	SHANK3	Oligodendrocytes	1779	114	32	1	0.882176437986028
Global	SHANK3	OPC	36254	114	256	1	0.5547452617737517
Conditional	SHANK3	OPC	1779	114	43	1	0.9440371587292876
Global	SHANK3	AST-FB	36254	114	94	0	1.0
Conditional	SHANK3	AST-FB	1779	114	13	0	1.0
Global	SHANK3	Endothelial	36254	114	167	1	0.4097241788446947
Conditional	SHANK3	Endothelial	1779	114	30	1	0.8651678136935907
Global	SHANK3	Microglia	36254	114	73	0	1.0
Conditional	SHANK3	Microglia	1779	114	9	0	1.0
Global	SHANK3	Neu-NRGN-I	36254	114	389	4	0.034708414563114985
Conditional	SHANK3	Neu-NRGN-I	1779	114	114	4	0.9446117113865469
Global	SHANK3	IN-VIP	36254	114	966	9	0.003503874506220052
Conditional	SHANK3	IN-VIP	1779	114	195	9	0.8966333918720089
Global	SHANK3	L5/6-CC	36254	114	4308	46	1.0348513206591349e-14
Conditional	SHANK3	L5/6-CC	1779	114	792	46	0.8469108433103261
Global	SHANK3	IN-SV2C	36254	114	1564	20	8.813150929074201e-08
Conditional	SHANK3	IN-SV2C	1779	114	321	20	0.5976187962266526
Global	SHANK3	L2/3	36254	114	3050	32	7.075891468327893e-10
Conditional	SHANK3	L2/3	1779	114	570	32	0.8517476067322456
Global	SHANK3	IN-PV	36254	114	1756	20	5.542570725249885e-07
Conditional	SHANK3	IN-PV	1779	114	352	20	0.7681911786373081
Global	SHANK3	L4	36254	114	1817	21	2.170906466232892e-07
Conditional	SHANK3	L4	1779	114	358	21	0.7174408033705106
Global	SHANK3	IN-SST	36254	114	875	9	0.0018135564632184035
Conditional	SHANK3	IN-SST	1779	114	180	9	0.8349385332302762
Global	SHANK3	Neu-mat	36254	114	211	1	0.48647981127490764
Conditional	SHANK3	Neu-mat	1779	114	32	1	0.882176437986028
Global	SHANK3	AST-PP	36254	114	269	1	0.5727345858298446
Conditional	SHANK3	AST-PP	1779	114	42	1	0.9401063122075001
Global	SYNGAP1	Neu-NRGN-II	36254	130	101	4	0.0004924959017457816
Conditional	SYNGAP1	Neu-NRGN-II	1147	130	29	4	0.4209536706545518
Global	SYNGAP1	L5/6	36254	130	2400	44	3.1951779759988143e-20
Conditional	SYNGAP1	L5/6	1147	130	319	44	0.06514044456184535
Global	SYNGAP1	Oligodendrocytes	36254	130	169	2	0.12333853912387802
Conditional	SYNGAP1	Oligodendrocytes	1147	130	23	2	0.7553133230919524
Global	SYNGAP1	OPC	36254	130	256	3	0.06487330695760185
Conditional	SYNGAP1	OPC	1147	130	30	3	0.6799938720084924
Global	SYNGAP1	AST-FB	36254	130	94	1	0.28688077949050605
Conditional	SYNGAP1	AST-FB	1147	130	10	1	0.7011973252059374
Global	SYNGAP1	Endothelial	36254	130	167	4	0.0031446976548695276
Conditional	SYNGAP1	Endothelial	1147	130	26	4	0.3393773824025603
Global	SYNGAP1	Microglia	36254	130	73	1	0.2308704646885427
Conditional	SYNGAP1	Microglia	1147	130	4	1	0.3823547420012965
Global	SYNGAP1	Neu-NRGN-I	36254	130	389	14	1.5064166953001203e-10
Conditional	SYNGAP1	Neu-NRGN-I	1147	130	101	14	0.24391767987183385
Global	SYNGAP1	IN-VIP	36254	130	966	18	1.2174934298917661e-08
Conditional	SYNGAP1	IN-VIP	1147	130	130	18	0.20525864715691913
Global	SYNGAP1	L5/6-CC	36254	130	4308	76	5.4137230640978426e-37
Conditional	SYNGAP1	L5/6-CC	1147	130	549	76	0.006630290009269097
Global	SYNGAP1	IN-SV2C	36254	130	1564	31	4.8347532040203974e-15
Conditional	SYNGAP1	IN-SV2C	1147	130	220	31	0.0959732056769973
Global	SYNGAP1	L2/3	36254	130	3050	51	5.848803767632945e-22
Conditional	SYNGAP1	L2/3	1147	130	386	51	0.09255578341311603
Global	SYNGAP1	IN-PV	36254	130	1756	33	2.42611783500674e-15
Conditional	SYNGAP1	IN-PV	1147	130	238	33	0.10382282337081555
